,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Bakary Meite,Flanker 7,bath,2019,,,,,,,,,,,,,,,,,,
Beno Obano,Prop,bath,2019, 10 , 2 , 77 , 57 , 4 , 1 , 10 , 0 , 0 , 0 , 0 , 77 , 6 , 0 , 2 , 11 , 0 , 0 
Charlie Ewels,Lock,bath,2019, 0 , 0 , 34 , 50 , 0 , 0 , 21 , 2 , 0 , 0 , 0 , 69 , 2 , 5 , 6 , 3 , 0 , 0 
D'arcy Rae,Prop,bath,2019,,,,,,,,,,,,,,,,,,
Jaco Coetzee,Number 8,bath,2019,,,,,,,,,,,,,,,,,,
Jacques Du Toit,Hooker,bath,2019,,,,,,,,,,,,,,,,,,
Johan Smith,Prop,bath,2019,,,,,,,,,,,,,,,,,,
Johannes Jonker,Prop,bath,2019,,,,,,,,,,,,,,,,,,
Josh Bayliss,Blindside Flanker,bath,2019, 5 , 1 , 86 , 45 , 3 , 0 , 9 , 1 , 0 , 0 , 0 , 89 , 7 , 7 , 2 , 7 , 0 , 0 
Josh McNally ,Lock 4,bath,2019,,,,,,,,,,,,,,,,,,
Joshua McNally,Flanker 6,bath,2019, 0 , 0 , 77 , 53 , 5 , 2 , 16 , 1 , 0 , 0 , 0 , 79 , 6 , 9 , 11 , 4 , 0 , 0 
Juan Schoeman,Prop,bath,2019,,,,,,,,,,,,,,,,,,
Lewis Boyce,Prop,bath,2019, 0 , 0 , 50 , 29 , 3 , 2 , 3 , 0 , 0 , 0 , 0 , 40 , 3 , 1 , 1 , 12 , 1 , 0 
Ma'afu Fia,Prop,bath,2019,,,,,,,,,,,,,,,,,,
Matheus Daniel,Flanker 6,bath,2019,,,,,,,,,,,,,,,,,,
Mike Williams,Lock,bath,2019, 0 , 0 , 49 , 32 , 1 , 0 , 5 , 0 , 0 , 0 , 0 , 56 , 6 , 2 , 7 , 2 , 0 , 0 
Miles Reid,Number 8,bath,2019, 0 , 0 , 39 , 10 , 0 , 0 , 4 , 0 , 2 , 0 , 0 , 32 , 0 , 1 , 1 , 1 , 0 , 0 
Nahum Merigan,Number 8,bath,2019, 0 , 0 , 23 , 12 , 1 , 0 , 12 , 0 , 1 , 0 , 0 , 13 , 1 , 2 , 1 , 1 , 0 , 0 
Nathan Hughes,Number 8,bristol,2019, 10 , 2 , 228 , 75 , 10 , 6 , 27 , 5 , 0 , 0 , 0 , 47 , 4 , 6 , 15 , 6 , 1 , 0 
Sam Underhill,Flanker 7,bath,2019, 0 , 0 , 68 , 30 , 0 , 0 , 14 , 1 , 0 , 0 , 0 , 35 , 11 , 2 , 4 , 2 , 0 , 0 
Taulupe Faletau,Flanker 7,cardiff-blues,2019,,,,,,,,,,,,,,,,,,
Tom Dunn,Hooker,bath,2019, 15 , 3 , 93 , 80 , 2 , 2 , 24 , 4 , 0 , 0 , 0 , 121 , 9 , 0 , 9 , 4 , 0 , 0 
Tom Ellis,Blindside Flanker,bath,2019, 0 , 0 , 75 , 41 , 3 , 2 , 12 , 2 , 1 , 0 , 0 , 62 , 5 , 8 , 5 , 6 , 0 , 0 
Valery Morozov,Prop,bath,2019,,,,,,,,,,,,,,,,,,
Viliame Veikoso,Hooker,bath,2019,,,,,,,,,,,,,,,,,,
Will Spencer,Lock 5,bath,2019,,,,,,,,,,,,,,,,,,
Will Stuart,Tighthead Prop,bath,2019, 10 , 2 , 82 , 68 , 0 , 0 , 11 , 1 , 0 , 0 , 0 , 61 , 4 , 0 , 4 , 10 , 0 , 0 
Will Vaughan,Prop,bath,2019, 0 , 0 , 8 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 1 , 4 , 0 , 0 
Anthony Watson,Wing,lions,2019,,,,,,,,,,,,,,,,,,
Anton Ryabov,Fly half,bath,2019,,,,,,,,,,,,,,,,,,
Arthur Cordwell,Fullback,bath,2019, 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 
Ben Spencer,Scrum half,bath,2019,,,,,,,,,,,,,,,,,,
Cameron Redpath,Centre,bath,2019,,,,,,,,,,,,,,,,,,
Carl Meyer,Centre,bath,2019,,,,,,,,,,,,,,,,,,
Danny Cipriani,Fly half,bath,2019,,,,,,,,,,,,,,,,,,
Ewan Richards,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Frankie Read,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Gabriel Hamer-Webb,Wing,bath,2019, 5 , 1 , 93 , 15 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 25 , 3 , 1 , 3 , 0 , 0 , 0 
Harry Casson,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Jeremy Russell,Fly half,bath,2019,,,,,,,,,,,,,,,,,,
Joe Cokanasiga,Wing,bath,2019, 10 , 2 , 58 , 10 , 0 , 2 , 3 , 0 , 0 , 0 , 0 , 3 , 2 , 1 , 0 , 0 , 0 , 0 
Joe Simpson,Scrum half,saracens,2019,,,,,,,,,,,,,,,,,,
Jonathan Joseph,Centre,bath,2019, 10 , 2 , 112 , 45 , 4 , 4 , 45 , 6 , 2 , 0 , 0 , 44 , 4 , 1 , 2 , 3 , 0 , 0 
Josh Dingley,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Kieran Verden,,bath,2019,,,,,,,,,,,,,,,,,,
Lucas Muller,Wing,bath,2019,,,,,,,,,,,,,,,,,,
Max Clark,Centre,bath,2019, 0 , 0 , 6 , 6 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 2 , 0 , 2 , 0 , 0 , 0 
Max Green,Scrum half,bath,2019,,,,,,,,,,,,,,,,,,
Max Ojomoh,,bath,2019, 0 , 0 , 15 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 0 , 0 
Ollie Fox,Scrum half,bath,2019, 0 , 0 , 32 , 8 , 3 , 2 , 65 , 0 , 7 , 0 , 0 , 3 , 0 , 1 , 3 , 0 , 0 , 0 
