,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Orlando Bailey,Fly Half,bath,2019,,,,,,,,,,,,,,,,,,
Richard De Carpentier,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Robert Tenorio,Scrum half,bath,2019,,,,,,,,,,,,,,,,,,
Ruaridh McConnochie,Wing,bath,2019, 5 , 1 , 158 , 38 , 5 , 3 , 9 , 2 , 0 , 0 , 0 , 28 , 5 , 4 , 7 , 0 , 0 , 0 
Semesa Rokoduguni,Right Wing,bath,2019, 5 , 1 , 163 , 53 , 11 , 3 , 14 , 5 , 3 , 0 , 0 , 34 , 5 , 2 , 4 , 0 , 0 , 0 
Tom Cowan,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Tom De Glanville,,bath,2019, 0 , 0 , 35 , 7 , 0 , 0 , 7 , 1 , 2 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 
Tom Doughty,,bath,2019,,,,,,,,,,,,,,,,,,
Tom Prydie,Wing,bath,2019,,,,,,,,,,,,,,,,,,
Will Butt,,bath,2019, 0 , 0 , 11 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 
Will Muir,Fullback,bath,2019,,,,,,,,,,,,,,,,,,
Zee Mkhabela,Scrum Half,bath,2019,,,,,,,,,,,,,,,,,,
Aidan Ross,Prop,chiefs,2019, 0 , 0 , 5 , 4 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 28 , 0 , 0 , 0 , 2 , 0 , 0 
Anaru Rangi,Hooker,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Ben Finau,Blindside Flanker,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Benet Kumeroa,Loose head prop,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Jacob Norris,Flanker 7,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Jeff Thwaites,Prop,highlanders,2019,,,,,,,,,,,,,,,,,,
Justin Sangster,Lock 4,hurricanes,2019,,,,,,,,,,,,,,,,,,
Kohan Herbert,Openside flanker,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Kurt Eklund,Hooker,bay-of-plenty,2019, 5 , 1 , 69 , 28 , 2 , 3 , 6 , 3 , 1 , 0 , 0 , 49 , 7 , 6 , 12 , 3 , 0 , 0 
Manaaki Selby-Rickit,Lock 5,highlanders,2019,,,,,,,,,,,,,,,,,,
Naitoa Ah Kuoi,Lock,chiefs,2019,,,,,,,,,,,,,,,,,,
Nic Souchon,Hooker,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Nikora Broughton,Number 8,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Tevita Mafileo,Prop,hurricanes,2019,,,,,,,,,,,,,,,,,,
Veveni Lasaqa,Blindside flanker,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Zane Kapeli,Flanker 7,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Carlos Price,Scrum half,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Emoni Narawa,Fullback,chiefs,2019,,,,,,,,,,,,,,,,,,
Etonia Waqa,Fullback,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Gillies Kaka,Fullback,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Haereiti Hetet,,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Jamie Dobie,,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Joey Walton,,waratahs,2019,,,,,,,,,,,,,,,,,,
Josh Bartlett,Fullback,chiefs,2019,,,,,,,,,,,,,,,,,,
Kaleb Trask,Fullback,chiefs,2019,,,,,,,,,,,,,,,,,,
Kaveinga Finau,Centre 12,crusaders,2019,,,,,,,,,,,,,,,,,,
Lalomilo Lalomilo,Wing,bay-of-plenty,2019, 0 , 0 , 43 , 12 , 3 , 2 , 3 , 1 , 1 , 0 , 0 , 5 , 1 , 0 , 0 , 1 , 0 , 0 
Leroy Carter,,bay-of-plenty,2019, 0 , 0 , 32 , 16 , 2 , 0 , 231 , 4 , 10 , 0 , 0 , 30 , 3 , 3 , 6 , 2 , 0 , 0 
Lucas Cashmore,Fly half,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Luke Donaldson,,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Nigel Ah Wong,Centre 13,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Pasilio Tosi,Fullback,hurricanes,2019,,,,,,,,,,,,,,,,,,
Penikora Finau,Fullback,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Seamus Bardoul,Inside centre,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Sekuni Tanimo,Fullback,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Sonny Collier,Fullback,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Taylor Haugh,Wing,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
Te Toiroa Tahuriorangi,Scrum half,crusaders,2019,,,,,,,,,,,,,,,,,,
Wharenui Hawera,Fly half,bay-of-plenty,2019,,,,,,,,,,,,,,,,,,
AlessandroIzekor,Blindside Flanker,benetton,2019,,,,,,,,,,,,,,,,,,
Braam Steyn,Flanker 7,benetton,2019, 0 , 0 , 205 , 84 , 5 , 3 , 11 , 1 , 1 , 0 , 0 , 84 , 10 , 8 , 5 , 7 , 1 , 0 
Carl Wegner,Lock,benetton,2019,,,,,,,,,,,,,,,,,,
Federico Ruzza,Lock,benetton,2019, 5 , 1 , 57 , 28 , 1 , 2 , 4 , 1 , 0 , 0 , 0 , 41 , 2 , 4 , 2 , 4 , 0 , 0 
Federico Zani,Hooker,benetton,2019, 5 , 1 , 41 , 26 , 0 , 1 , 3 , 0 , 1 , 0 , 0 , 34 , 3 , 0 , 4 , 4 , 0 , 0 
Giacomo Nicotera,Hooker,benetton,2019,,,,,,,,,,,,,,,,,,
Gianmarco Lucchesi,,benetton,2019,,,,,,,,,,,,,,,,,,
Giovanni Pettinelli,Openside Flanker,benetton,2019, 0 , 0 , 86 , 43 , 0 , 2 , 8 , 1 , 0 , 0 , 0 , 80 , 5 , 3 , 7 , 4 , 0 , 0 
Henry Stowers,Number 8,benetton,2019,,,,,,,,,,,,,,,,,,
Ivan Nemer,Loosehead Prop,benetton,2019,,,,,,,,,,,,,,,,,,
Manuel Zuliani,Number 8,benetton,2019,,,,,,,,,,,,,,,,,,
Marco Lazzaroni,Lock,benetton,2019, 5 , 1 , 73 , 23 , 1 , 2 , 8 , 0 , 0 , 0 , 0 , 54 , 6 , 0 , 1 , 5 , 0 , 1 
Michele Lamaro,Openside Flanker,benetton,2019,,,,,,,,,,,,,,,,,,
Nahuel Tetaz Chaparro,Prop,benetton,2019,,,,,,,,,,,,,,,,,,
Niccolo Cannone,Lock 4,benetton,2019, 0 , 0 , 81 , 40 , 1 , 0 , 3 , 0 , 0 , 0 , 0 , 82 , 5 , 2 , 1 , 5 , 0 , 0 
Scott Scrafton,Lock,hurricanes,2019,,,,,,,,,,,,,,,,,,
Sebastian Negri da Ollegio,Openside Flanker,benetton,2019, 0 , 0 , 108 , 41 , 4 , 3 , 5 , 0 , 0 , 0 , 0 , 66 , 5 , 2 , 5 , 1 , 0 , 0 
Simone Ferrari,Prop,benetton,2019,,,,,,,,,,,,,,,,,,
Tiziano Pasquali,Tight head prop,benetton,2019, 0 , 0 , -3 , 21 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 40 , 6 , 0 , 0 , 6 , 0 , 0 
Toa Halafihi,Number 8,benetton,2019, 0 , 0 , 127 , 57 , 5 , 3 , 27 , 3 , 0 , 0 , 0 , 93 , 7 , 6 , 7 , 8 , 2 , 0 
Alessandro Garbisi,Fullback,benetton,2019,,,,,,,,,,,,,,,,,,
Alexander Todua,Wing,benetton,2019,,,,,,,,,,,,,,,,,,
Dewaldt Duvenage,Scrum half,benetton,2019, 0 , 0 , 35 , 14 , 2 , 1 , 416 , 2 , 60 , 0 , 0 , 40 , 8 , 3 , 3 , 1 , 0 , 0 
Edoardo Padovani,Fullback,benetton,2019,,,,,,,,,,,,,,,,,,
Giacomo Da Re,Fullback,benetton,2019,,,,,,,,,,,,,,,,,,
Joaquin Riera,Centre,benetton,2019, 0 , 0 , 20 , 8 , 0 , 0 , 3 , 0 , 2 , 0 , 0 , 5 , 2 , 1 , 3 , 0 , 0 , 0 
Juan Ignacio Brex,Centre 12,benetton,2019, 10 , 2 , 140 , 37 , 7 , 4 , 16 , 3 , 4 , 0 , 0 , 66 , 7 , 3 , 5 , 3 , 0 , 1 
Manfredi Albanese,Fullback,benetton,2019,,,,,,,,,,,,,,,,,,
Manuel Arroyo,Fullback,benetton,2019,,,,,,,,,,,,,,,,,,
Marco Zanon,Centre 12,benetton,2019, 0 , 0 , 5 , 2 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
Marcus Watson,Wing,benetton,2019,,,,,,,,,,,,,,,,,,
Mattia Bellini,Wing,benetton,2019,,,,,,,,,,,,,,,,,,
Rhyno Smith,Fullback,benetton,2019,,,,,,,,,,,,,,,,,,
Sam Hidalgo-Clyne,Scrum half,exeter-chiefs,2019,,,,,,,,,,,,,,,,,,
Tomas Albornoz,,benetton,2019,,,,,,,,,,,,,,,,,,
Tommaso Menoncello,Left Wing,benetton,2019,,,,,,,,,,,,,,,,,,
Arno Botha,Number 8,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Bismarck Du Plessis, Hooker,bulls,2019,,,,,,,,,,,,,,,,,,
Cameron Hanekom,Openside flanker,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Cyle Brink,Flanker 7,leicester,2019,,,,,,,,,,,,,,,,,,
Dylan Smith,Prop,bulls,2019,,,,,,,,,,,,,,,,,,
Elrigh Louw,Number 8,bulls,2019,,,,,,,,,,,,,,,,,,
Eric Basson,Blindside flanker,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Francois Klopper,Prop,bulls,2019,,,,,,,,,,,,,,,,,,
Gigauri Davit,Lock 4,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Jaco Labuschagne,Flanker,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Jacques Van Rooyen,Prop,bulls,2019,,,,,,,,,,,,,,,,,,
Johan Grobbelaar,Hooker,bulls,2019, 0 , 0 , 5 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 
Kowie Roos,Tight head prop,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Lizo Gqoboka,Prop,blue-bulls,2019, 5 , 1 , 10 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 2 , 0 , 0 
Marcell Coetzee,Flanker 6,bulls,2019,,,,,,,,,,,,,,,,,,
Reinhardt Ludwig,Lock,bulls,2019,,,,,,,,,,,,,,,,,,
Ruan Nortje,Lock,bulls,2019,,,,,,,,,,,,,,,,,,
Ruan Vermaak,Lock,bulls,2019,,,,,,,,,,,,,,,,,,
Simphiwe Matanzima,Prop,bulls,2019, 5 , 1 , 17 , 13 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 14 , 3 , 1 , 3 , 4 , 0 , 0 
Sintu Manjezi,Lock,blue-bulls,2019,,,,,,,,,,,,,,,,,,
WJ Steenkamp,Flanker,bulls,2019,,,,,,,,,,,,,,,,,,
Walt Steenkamp,Lock,bulls,2019,,,,,,,,,,,,,,,,,,
Werner Gouws,Blindside Flanker,blue-bulls,2019,,,,,,,,,,,,,,,,,,
 Robert Hunt,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Bernard Van Der Linde,Scrum Half,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Canan Moodie,Right wing,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Chris Smith,Outside Half,bulls,2019,,,,,,,,,,,,,,,,,,
Cornal Hendricks,Right Wing,bulls,2019, 25 , 5 , 155 , 23 , 12 , 6 , 13 , 3 , 4 , 0 , 0 , 47 , 9 , 0 , 7 , 1 , 0 , 0 
David Kriel,Full Back,bulls,2019,,,,,,,,,,,,,,,,,,
Diego Appollis,Centre,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Embrose Papier,Scrum half,bulls,2019, 0 , 0 , 67 , 5 , 1 , 4 , 47 , 0 , 4 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
FC Du Plessis,Outside Half,toulon,2019,,,,,,,,,,,,,,,,,,
Gerhard Steenekamp,Prop,bulls,2019,,,,,,,,,,,,,,,,,,
Harold Vorster,Centre,bulls,2019,,,,,,,,,,,,,,,,,,
Izak Burger,,bulls,2019,,,,,,,,,,,,,,,,,,
Jakobus Roos,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
James Verity-Amm,,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Jan-Hendrik Wessels,Prop,bulls,2019,,,,,,,,,,,,,,,,,,
Janko Swanepoel,Lock,bulls,2019,,,,,,,,,,,,,,,,,,
Joe Van Zyl,Hooker,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Juan Mostert,Outside Half,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Kabelo Mokoena,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Keagan Johannes,Scrum Half,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Kurt-Lee Arendse,Full Back,bulls,2019,,,,,,,,,,,,,,,,,,
Lionel Mapoe,Centre,bulls,2019,,,,,,,,,,,,,,,,,,
Marco Jansen Van Vuuren,Scrum half,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Mheli Dlamini,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Michael Tambwe,Wing,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Morne Steyn,Fly Half,bulls,2019,,,,,,,,,,,,,,,,,,
Muller Uys,Number 8,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Niel Beukes,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Quewin Nortje,Left wing,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Raynard Roets,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Richard Kriel,Full Back,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Ruan Delport,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Schalk Erasmus,,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Sean Cox,Centre,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Sebastian Lombard,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Sidney Tobias,Hooker,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Stedman Gans,Centre,bulls,2019,,,,,,,,,,,,,,,,,,
Stephan Smit,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Stravino Jacobs,Right Wing,bulls,2019,,,,,,,,,,,,,,,,,,
Tarquin Manuel ,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Tiaan Fourie,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Tielman Nieuwoudt,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Willie Potgieter,Fullback,blue-bulls,2019,,,,,,,,,,,,,,,,,,
Atunaisa Moli,Prop,bristol,2019,,,,,,,,,,,,,,,,,,
Bryan Byrne,Hooker,bristol,2019,,,,,,,,,,,,,,,,,,
Christopher Vui,Flanker 6,bristol,2019, 0 , 0 , 51 , 41 , 3 , 0 , 22 , 1 , 1 , 0 , 0 , 66 , 10 , 8 , 5 , 5 , 1 , 0 
Daniel Thomas,Flanker 7,bristol,2019, 5 , 1 , 38 , 20 , 0 , 1 , 28 , 2 , 1 , 0 , 0 , 48 , 3 , 6 , 2 , 2 , 0 , 0 
Dave Attwood,Lock,bristol,2019, 0 , 0 , 23 , 15 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 41 , 3 , 3 , 3 , 2 , 0 , 0 
Ed Holmes,Flanker 6,bristol,2019, 5 , 1 , 88 , 25 , 5 , 2 , 5 , 2 , 0 , 0 , 0 , 28 , 1 , 1 , 1 , 0 , 0 , 0 
Harry Thacker,Hooker,bristol,2019, 10 , 2 , 155 , 58 , 5 , 7 , 34 , 5 , 0 , 0 , 0 , 93 , 6 , 3 , 12 , 5 , 1 , 0 
Jake Armstrong,Prop,bristol,2019,,,,,,,,,,,,,,,,,,
Jake Heenan,Flanker 7,bristol,2019, 5 , 1 , 72 , 34 , 2 , 0 , 8 , 4 , 0 , 0 , 0 , 59 , 9 , 4 , 2 , 0 , 0 , 0 
Jake Kerr,Hooker,bristol,2019,,,,,,,,,,,,,,,,,,
Jake Woolmore,Prop,bristol,2019, 0 , 0 , 28 , 19 , 2 , 1 , 14 , 0 , 0 , 0 , 0 , 65 , 9 , 0 , 3 , 8 , 0 , 0 
Joe Joyce,Lock,bristol,2019, 0 , 0 , 22 , 12 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 34 , 0 , 0 , 2 , 0 , 0 , 0 
John Afoa,Prop,bristol,2019, 5 , 1 , 40 , 29 , 1 , 1 , 21 , 0 , 0 , 0 , 0 , 77 , 7 , 3 , 1 , 7 , 1 , 0 
John Hawkins,Lock,bristol,2019, 0 , 0 , 18 , 6 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 14 , 0 , 0 , 2 , 0 , 0 , 0 
Kyle Sinckler,Tighthead Prop,lions,2019,,,,,,,,,,,,,,,,,,
Lindokuhle Welemu,Lock,bristol,2019,,,,,,,,,,,,,,,,,,
Matt Mullan,Prop,bristol,2019,,,,,,,,,,,,,,,,,,
Max Lahiff,Loosehead Prop,bristol,2019, 0 , 0 , 10 , 5 , 3 , 0 , 4 , 1 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 1 , 0 , 0 
Mitch Eadie,Flanker 6,bristol,2019,,,,,,,,,,,,,,,,,,
Sam Jeffries,Flanker 6,bristol,2019,,,,,,,,,,,,,,,,,,
Steven Luatua,Blindside Flanker,bristol,2019, 0 , 0 , 94 , 54 , 1 , 1 , 30 , 3 , 1 , 0 , 0 , 86 , 6 , 0 , 7 , 6 , 0 , 0 
Will Capon,Hooker,bristol,2019, 5 , 1 , 65 , 15 , 2 , 0 , 9 , 2 , 0 , 0 , 0 , 16 , 3 , 1 , 4 , 0 , 0 , 0 
Yann Thomas,Prop,bristol,2019, 0 , 0 , 17 , 12 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 20 , 2 , 2 , 0 , 2 , 0 , 0 
Alapati Leiua,Centre,bristol,2019, 5 , 1 , 130 , 33 , 1 , 4 , 11 , 1 , 0 , 0 , 0 , 28 , 6 , 1 , 3 , 1 , 0 , 0 
Andy Uren,Scrum half,bristol,2019, 0 , 0 , 120 , 23 , 2 , 1 , 302 , 2 , 89 , 0 , 0 , 41 , 7 , 4 , 15 , 2 , 0 , 0 
Antoine Frisch,Centre,bristol,2019,,,,,,,,,,,,,,,,,,
Ash Challenger,Fullback,bristol,2019,,,,,,,,,,,,,,,,,,
Callum Sheedy,Fly half,bristol,2019, 77 , 0 , 59 , 24 , 5 , 0 , 130 , 2 , 51 , 13 , 17 , 48 , 7 , 1 , 8 , 2 , 0 , 0 
Carwyn Penny,Fly half,bristol,2019,,,,,,,,,,,,,,,,,,
Charles Piutau,Fullback,bristol,2019, 20 , 4 , 413 , 93 , 32 , 12 , 38 , 17 , 43 , 0 , 0 , 19 , 7 , 2 , 12 , 2 , 0 , 0 
Charlie Powell,,bristol,2019, 0 , 0 , 10 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 0 
Daniel Sancery,Fullback,bristol,2019,,,,,,,,,,,,,,,,,,
Fitz Harding,,bristol,2019,,,,,,,,,,,,,,,,,,
George Kloska,,bristol,2019, 0 , 0 , 28 , 10 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 8 , 1 , 0 , 0 , 0 , 0 , 0 
Harry Randall,Scrum half,bristol,2019, 0 , 0 , 41 , 10 , 1 , 1 , 203 , 5 , 36 , 0 , 0 , 20 , 2 , 1 , 5 , 1 , 0 , 0 
Henry Purdy,Wing,bristol,2019,,,,,,,,,,,,,,,,,,
Ioan Lloyd,Fly Half,bristol,2019, 14 , 2 , 97 , 17 , 6 , 2 , 20 , 4 , 2 , 2 , 0 , 5 , 0 , 0 , 1 , 1 , 0 , 0 
Jack Bates,,bristol,2019, 5 , 1 , 5 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 7 , 0 , 0 , 1 , 0 , 0 , 0 
Jono Benz Salomon,Fullback,bristol,2019,,,,,,,,,,,,,,,,,,
Adam Beard,Lock,lions,2019,,,,,,,,,,,,,,,,,,
Alun Wyn Jones,Lock,lions,2019,,,,,,,,,,,,,,,,,,
Courtney Lawes,Flanker 6,lions,2019,,,,,,,,,,,,,,,,,,
Hamish Watson,Flanker 7,edinburgh,2019, 0 , 0 , 35 , 15 , 0 , 0 , 17 , 0 , 0 , 0 , 0 , 43 , 2 , 1 , 3 , 1 , 0 , 0 
Iain Henderson,Lock,lions,2019,,,,,,,,,,,,,,,,,,
Jack Conan,Number 8,lions,2019,,,,,,,,,,,,,,,,,,
