,age,weight,height
Anibal Bonan,22,109,193
Asier Usarraga,0,0,0
Fabien Perrin,23,107,206
Fernando Lopez,23,110,196
Fred Quercy,23,110,196
Gautier Gibouin,23,102,184
Jon Zabala Arrieta,0,0,0
Manuel Mora,0,0,0
Marco Pinto Ferrer,0,0,0
Michael Walker-Fitton,0,0,0
Thierry Futeu,0,0,0
Victor Sanchez,0,0,0
 Gavin Van Den Berg,0,0,0
Alvar Gimeno,22,94,185
Bautista Guemes,0,0,0
Charly Malie,31,86,182
Facundo Nahuel Dominguez,0,0,0
Gauthier Minguillon,0,0,0
Guillaume Rouet,34,71,170
Inaki Mateu,0,0,0
Joel Merkler,0,0,0
Jordi Jorba,0,0,0
Julien Goia,0,0,0
Lucas Guillaume,0,0,0
Manuel Ordas,0,0,0
Mathieu Belie,0,0,0
Matthew Foulds,0,0,0
Micheal Hogg,0,0,0
Santiago Ovejero,0,0,0
Tomas Munilla,0,0,0
Andrew Guerra,0,0,0
Antonin Berruyer,24,101,187
Ben Bonasso,0,0,0
Ben Nutley,30,103,185
Cameron Dolan,32,107,198
Chad Gough,0,0,0
David Ainu'u,0,0,0
Dino Waldren,31,111,183
Dylan Fawsitt,0,0,0
Greg Peterson,31,123,204
Hanco Germishuys,26,101,188
Jamason Fa'anana Shultz,0,0,0
Joe Taufete'e,30,114,183
Matt Harmon,0,0,0
Mike Sosene Feagai,29,98,178
Nate Brakeley,33,110,196
Nick Civetta,33,117,203
Paul Mullen,31,122,182
Psalm Wooching,0,0,0
Riekert Hattingh,0,0,0
Rob Hawkins,0,0,0
Bryce Campbell,28,98,188
Calvin Whiting,26,105,189
Christian Dyer,0,0,0
Faka'osi Pifeleti,0,0,0
Kapeli Pifeleti,0,0,0
Marcel Brache,35,92,190
Michael Baska,22,86,178
Michael Dowsett,30,85,182
Mika Kruse,2023,104,184
Mike Dabulas,0,0,0
Mike Te'o,0,0,0
Nate Augspurger,33,75,173
Ross Adair,0,0,0
Ruben De Haas,0,0,0
Ryan James,2023,86,183
Ryan Matyas,32,85,183
Siaosi Mahoni,0,0,0
Tavita Lopeti,0,0,0
Tesimoni Tongauiha,0,0,0
Will Hooley,29,75,183
Will Magie,30,84,183
Bakary Meite,39,108,189
Beno Obano,28,120,173
D'arcy Rae,28,110,186
Jaco Coetzee,26,109,188
Jacques Du Toit,29,103,184
Johan Smith,0,0,0
Johannes Jonker,28,118,184
Josh McNally ,0,0,0
Joshua McNally,32,125,201
Juan Schoeman,31,122,183
Lewis Boyce,26,113,185
Matheus Daniel,32,90,183
Mike Williams,31,114,196
Miles Reid,24,105,188
Nahum Merigan,0,0,0
Nathan Hughes,31,115,196
Tom Dunn,30,106,188
Tom Ellis,28,106,193
Valery Morozov,28,115,190
Viliame Veikoso,0,0,0
Will Spencer,30,116,200
Will Vaughan,26,107,186
Anthony Watson,28,90,188
Anton Ryabov,0,0,0
Arthur Cordwell,0,0,0
Ben Spencer,30,82,179
Carl Meyer,0,0,0
Danny Cipriani,35,89,183
Ewan Richards,0,0,0
Frankie Read,0,0,0
Gabriel Hamer-Webb,0,0,0
Harry Casson,0,0,0
Jeremy Russell,28,94,193
Joe Simpson,34,86,178
Jonathan Joseph,31,93,183
Josh Dingley,0,0,0
Kieran Verden,0,0,0
Lucas Muller,32,84,184
Max Clark,27,100,190
Max Green,26,81,179
Max Ojomoh,0,0,0
Ollie Fox,0,0,0
Richard De Carpentier,0,0,0
Robert Tenorio,26,80,192
Ruaridh McConnochie,0,0,0
Semesa Rokoduguni,35,94,183
Tom Cowan,0,0,0
Tom De Glanville,0,0,0
Tom Doughty,0,0,0
Tom Prydie,30,94,194
Will Butt,0,0,0
Will Muir,0,0,0
Zee Mkhabela,28,80,167
Anaru Rangi,34,117,181
Ben Finau,0,0,0
Benet Kumeroa,0,0,0
Jacob Norris,0,0,0
Jeff Thwaites,30,115,190
Justin Sangster,0,0,0
Kohan Herbert,0,0,0
Naitoa Ah Kuoi,0,0,0
Nic Souchon,0,0,0
Nikora Broughton,0,0,0
Tevita Mafileo,0,0,0
Veveni Lasaqa,0,0,0
Carlos Price,24,85,179
Emoni Narawa,0,0,0
Etonia Waqa,0,0,0
Gillies Kaka,0,0,0
Jamie Dobie,21,81,175
Joey Walton,0,0,0
Josh Bartlett,0,0,0
Kaleb Trask,24,90,180
Kaveinga Finau,0,0,0
Lalomilo Lalomilo,0,0,0
Leroy Carter,0,0,0
Lucas Cashmore,0,0,0
Luke Donaldson,0,0,0
Nigel Ah Wong,32,102,193
Pasilio Tosi,0,0,0
Penikora Finau,0,0,0
Seamus Bardoul,0,0,0
Sekuni Tanimo,0,0,0
Sonny Collier,0,0,0
Taylor Haugh,0,0,0
Te Toiroa Tahuriorangi,27,83,171
Wharenui Hawera,29,89,180
AlessandroIzekor,0,0,0
Carl Wegner,32,117,201
Federico Zani,33,110,178
Marco Lazzaroni,27,110,190
Scott Scrafton,29,118,200
Simone Ferrari,28,124,185
Alessandro Garbisi,20,83,174
Dewaldt Duvenage,34,80,173
Joaquin Riera,28,90,183
Manfredi Albanese,21,78,170
Manuel Arroyo,20,106,178
Marcus Watson,31,86,178
Mattia Bellini,29,101,193
Rhyno Smith,30,83,173
Sam Hidalgo-Clyne,29,85,175
Arno Botha,31,105,190
Bismarck Du Plessis,38,104,189
Cameron Hanekom,0,0,0
Cyle Brink,29,113,191
Dylan Smith,28,113,181
Eric Basson,0,0,0
Francois Klopper,23,124,189
Gigauri Davit,0,0,0
Jaco Labuschagne,23,101,191
Jacques Van Rooyen,36,122,186
Johan Grobbelaar,25,98,182
Kowie Roos,0,0,0
Lizo Gqoboka,32,115,183
Reinhardt Ludwig,20,106,199
Ruan Vermaak,24,120,200
Simphiwe Matanzima,25,111,182
Sintu Manjezi,27,114,197
WJ Steenkamp,22,104,190
Walt Steenkamp,27,121,203
Werner Gouws,0,0,0
 Robert Hunt,0,0,0
Bernard Van Der Linde,20,83,174
Chris Smith,28,90,181
Cornal Hendricks,34,97,186
David Kriel,23,94,194
Diego Appollis,22,91,177
Embrose Papier,25,80,171
FC Du Plessis,22,86,185
Gerhard Steenekamp,25,128,194
Harold Vorster,29,94,186
Izak Burger,0,0,0
Jakobus Roos,0,0,0
Jan-Hendrik Wessels,21,120,190
Janko Swanepoel,23,107,200
Joe Van Zyl,24,111,186
Juan Mostert,23,92,193
Kabelo Mokoena,0,0,0
Keagan Johannes,23,75,177
Lionel Mapoe,34,95,183
Marco Jansen Van Vuuren,26,94,186
Mheli Dlamini,0,0,0
Michael Tambwe,25,83,187
Muller Uys,24,107,191
Niel Beukes,0,0,0
Quewin Nortje,0,0,0
Raynard Roets,0,0,0
Richard Kriel,22,90,192
Ruan Delport,0,0,0
Schalk Erasmus,0,0,0
Sean Cox,0,0,0
Sebastian Lombard,0,0,0
Sidney Tobias,33,101,176
Stedman Gans,25,85,180
Stephan Smit,0,0,0
Stravino Jacobs,22,95,180
Tarquin Manuel ,0,0,0
Tiaan Fourie,0,0,0
Tielman Nieuwoudt,0,0,0
Willie Potgieter,0,0,0
Atunaisa Moli,27,127,189
Bryan Byrne,29,103,178
Christopher Vui,30,111,198
Daniel Thomas,29,96,183
Dave Attwood,35,115,201
Ed Holmes,27,110,194
Harry Thacker,28,82,173
Jake Armstrong,28,118,185
Jake Heenan,30,104,189
Jake Kerr,26,108,187
Jake Woolmore,32,122,185
Joe Joyce,29,105,198
John Afoa,39,120,183
John Hawkins,0,0,0
Lindokuhle Welemu,0,0,0
Matt Mullan,35,108,180
Max Lahiff,33,117,185
Mitch Eadie,30,102,185
Sam Jeffries,29,101,195
Steven Luatua,31,115,194
Will Capon,0,0,0
Yann Thomas,32,120,191
Alapati Leiua,34,100,185
Andy Uren,26,91,173
Antoine Frisch,26,99,188
Ash Challenger,0,0,0
Carwyn Penny,0,0,0
Charles Piutau,31,97,186
Charlie Powell,0,0,0
Daniel Sancery,28,94,182
Fitz Harding,0,0,0
George Kloska,0,0,0
Henry Purdy,28,94,188
Ioan Lloyd,0,0,0
Jack Bates,0,0,0
Jono Benz Salomon,0,0,0
Luke Morahan,32,95,189
Niyi Adeolokun,0,0,0
Oscar Lennon,0,0,0
Piers O'Connor,0,92,187
Richard Lane,0,0,0
Sam Bedlow,27,93,183
Savenaca Rawaca,0,0,0
Semi Radradra,30,105,190
Theo Strang,0,0,0
Tiff Eden,28,93,182
Toby Fricker,0,0,0
Toby Venner,0,0,0
Tom Whiteley,27,81,173
William Hutteau,24,80,172
Justin Tipuric,33,102,188
Ken Owens,36,106,186
Billy Pollard,0,0,0
Connal McInerney,27,104,181
Ed Kennedy,0,0,0
Jahrome Brown,26,105,189
Luke Reimer,0,0,0
Sosefo Kautai,26,128,189
Tom Hooper,0,0,0
Andy Muirhead,29,84,183
Cameron Clark,29,85,185
Chris Feauai-Sautia,29,92,181
Fred Kaihea,0,0,0
Hudson Creighton,0,0,0
Jesse Mogg,33,90,187
Lachie Albert,0,0,0
Ollie Sapsford,0,0,0
Rory Scott,0,0,0
Ryan Lonergan,24,82,178
Tom Ross,0,0,0
Johan Goosen,30,90,185
Mihlali Mosi,26,101,190
Ben Funnell,32,105,180
Brodie McAlister,0,0,0
Corey Kellow,0,0,0
Dan Lienert-Brown,30,112,184
Finlay Brewis,0,0,0
George Bell,0,0,0
Luke Romano,36,113,199
Oli Jager,24,117,192
Owen Franks,35,118,185
Tom Christie,24,103,185
Zach Gallagher,21,115,198
Alex Harford,0,0,0
Blair Murray,0,0,0
Chay Fihaki,0,0,0
Dallas McLeod,0,0,0
Dominic Gardiner,0,0,0
Fergus Burke,0,0,0
George Bridge,27,95,185
Isaiah Punivai,0,0,0
Joe Brial ,0,0,0
Joel Lam,0,0,0
Jone Rova,0,0,0
Liam Allen,0,0,0
Mitchell Drummond,28,84,180
Ngane Punivai,24,101,184
Sam Darry,0,0,0
Seb Calder,0,0,0
Shilo Klein,0,0,0
Tom Heywood,0,0,0
Wil Gualter,0,0,0
Willi Heinz,36,92,179
Corey Domachowski,26,121,183
Dimitri Arhip,34,117,180
James Botham,24,104,190
Josh Turnbull,34,115,193
Kirby Myhill,31,106,183
Kristian Dacey,33,106,188
Liam Belcher,26,106,176
Matthew Screech,30,116,195
Rory Thornton,27,120,201
Shane Lewis-Hughes,25,115,193
Thomas Young,30,104,180
Aled Summerhill,28,93,188
Ben Thomas,24,93,183
Jarrod Evans,26,87,180
Jason Harries,33,107,193
Lloyd Williams,33,88,183
Mason Grady,20,110,196
Max Llewellyn,24,105,195
Reynold Lee-Lo,36,99,190
Theo Cabango,21,85,185
Uilisi Halaholo,32,105,180
Antoine Guillamon,31,135,193
Antoine Tichit,33,115,187
Baptiste Delaporte,25,94,190
Jack Whetton,30,114,200
Josaia Raisuqe,0,0,0
Julius Nostadt,30,118,185
Kevin Kornath,26,98,194
Loic Jacquet,37,111,198
Matthew Tierney,26,120,188
Nick Champion de Crespigny,0,0,0
Teariki Ben-Nicholas,0,0,0
Theo Hannoyer,0,0,0
Thomas Staniforth,28,113,198
Tyler Ardron,31,110,194
Wayan De Benedittis ,0,0,0
Wilfrid Hounkpatin,0,0,0
Adrea Cocagi,28,105,186
Antoine Zeghdar,0,0,0
Bastien Guillemin,25,90,185
Ben Botica,33,92,180
Brice Humbert,0,0,0
Filipo Nakosi,30,98,183
Hugo Hermet,0,0,0
Jeremy Fernandez,0,0,0
Louis Le Brun,0,0,0
Martin Laveau,26,78,182
Pierre Aguillon,35,85,179
Pierre Colonna,0,0,0
Rory Kockott,36,89,180
Ryno Pieterse,0,0,0
Santiago Arata,0,0,0
Simon Meka,0,0,0
Thomas Combezou,36,88,184
Thomas Larregain,0,0,0
Aidon Davis,0,0,0
Alulutho Tshakweni,0,0,0
Anidisa Ntsila,0,0,0
Aranos Coetzee,0,0,0
Conraad Van Vuuren,27,115,183
George Cronje,0,0,0
Louis Van Der Westhuizen,0,0,0
Marnus van der Merwe,0,0,0
Rynier Bernardo,0,0,0
Schalk Ferreira,0,0,0
Victor Sekekete,0,0,0
Wilmar Arnoldi,0,0,0
Brandon Thomson,27,92,187
Cameron Dawson,0,0,0
Christopher Smit,0,0,0
Clayton Blommetjies,32,85,184
Cohan Jasper,0,0,0
Craig Barry,30,90,182
Damien Hoyland,29,91,178
Dandré Delport,0,0,0
Daniel Kasende,0,0,0
David Brits,0,0,0
Duncan Saal,0,0,0
Enver Brandt,0,0,0
Evardi Boshoff,0,0,0
Janus Venter,0,0,0
Jeandre Rudolph,0,0,0
Malcolm Jaer,0,0,0
Ockie Barnard,0,0,0
Reinhardt Fortuin,0,0,0
Rewan Kruger,0,0,0
Robert Ebersohn,33,85,181
Ruan Pienaar,38,92,186
Sergio Moreira,0,0,0
Siya Masuku,0,0,0
Stephen Fitzgerald,27,87,188
Atu Moli,0,0,0
Bradley Slater,0,0,0
George Dyer,23,118,188
Hamilton Burr,0,0,0
Kaylum Boshier,0,0,0
Laghlan McWhannell,24,112,201
Luke Jacobson,25,103,189
Mitchell Brown,29,98,189
Mitchell Jacobson,27,102,191
Reuben O'Neill,27,116,183
Samipeni Finau,0,0,0
Simon Parker,0,0,0
Sione Mafileo,29,130,177
Solomone Tukuafu,0,0,0
Tom Florence,24,103,189
Bryn Gatland,27,88,178
Chase Tiatia,27,93,181
Cortez Ratima,21,87,179
Etene Nanai-Seturo,23,90,186
Gideon Wrampling,0,0,0
Jonah Lowe,26,92,181
Josh Lord,0,0,0
Rivez Reihana,0,0,0
Xavier Roe,24,81,179
Arthur Iturria,28,115,198
Etienne Falgoux,0,0,0
Etienne Fourcade,0,0,0
Fritz Lee,34,107,190
Geoff Parling,39,114,198
Giorgi Beria,0,0,0
Judicael Cancoriet,26,106,194
Miles Amatosero,0,0,0
Paul Jedrasiak,29,116,200
Rabah Slimani,33,112,178
Sebastien Vahaamahina,31,119,200
Yohan Beheregaray,26,102,180
Alivereti Raka,28,85,184
Baptiste Jauneau,0,0,0
Bastien Pourailly,29,78,175
Benjamin Boudou,0,0,0
Camille Lopez,33,88,175
Cheikh Tiberghien,0,0,0
Clement Lanen,0,0,0
Cristian Ojovan,0,0,0
Edward Annandale,0,0,0
Gabin Michet,0,0,0
George Moala,32,100,188
JJ Hanrahan,30,93,183
Jaco van Tonder,0,0,0
Jean Pascal Barraque,0,0,0
Kevin Viallard,0,0,0
Lucas Dessaigne,0,0,0
Marvin O'Connor,31,77,178
Morgan Parra,34,83,180
Samuel Ezeala,0,0,0
Sebastien Bezy,31,72,174
Thibaud Lanen,0,0,0
Wesley Fofana,35,93,182
Dennis Buckley,32,107,176
Jack Aungier,24,120,188
Jarrad Butler,31,105,185
Josh Murphy,27,110,198
Oisin Dowling,25,109,197
Paul Boyle,26,107,190
Peter Dooley,28,113,183
Shamus Hurley-Langton,22,106,183
Bryan Ralston,0,0,0
Caolin Blade,28,80,169
Conor Fitzgerald,25,90,185
David Hawkshaw,23,85,175
Dylan Tierney-Martin,23,101,182
John Porch,28,86,186
Kieran Marmion,31,82,176
Oran McNulty,23,90,178
Thomas Farrell,30,107,190
Abraham Pole,0,0,0
Ethan Blackadder,27,104,192
Joe Moody,34,112,188
Liam Hallam-Eames,27,110,199
Mitchell Dunshea,27,107,196
Quinten Strange,26,108,200
Ricky Jackson,24,100,180
Sione Havili Talitui,25,105,187
Bryn Hall,31,93,183
Jack Goodhue,27,100,187
Kini Naholo,0,0,0
Simon Hickey,29,83,174
Boan Venter,25,120,188
Luan de Bruin,29,120,183
Charlie Savala,22,96,193
Chris Dean,28,99,188
Henry Immelman,27,107,188
Henry Pyrgos,33,83,178
Jaco van der Walt,29,93,183
James Lang,27,95,183
Mac Sykes,0,0,0
Alec Hepburn,29,101,185
Anthony Dickinson,0,0,0
Ben Moon,33,110,181
Callum Bradbury,0,0,0
Christ Tshiunza,0,0,0
Dave Ewers,32,115,193
David Attoub,0,0,0
Don Armand,34,112,191
Gilles Valette,41,88,180
Harry Williams,31,132,191
Jack Innard,27,98,180
Jack Yeandle,33,111,185
Jacques Vermeulen,28,112,194
James Kenny,0,0,0
Jannes Kirsten,29,109,197
Jean Jo Marmouyet,0,0,0
Jean-Blaise Lespinasse,0,0,0
Jordan Seneca,0,0,0
Jose Ramon Ayarza,0,0,0
Josh Iosefa-Scott,26,128,194
Marcus Street,24,119,183
Richard Capstick,0,0,0
Ryan McCauley,25,110,203
Sam Nixon,26,120,193
Sean Lonsdale,25,112,196
Sean O'Brien,35,108,188
Steffan Liebig,33,95,194
Tom Donnelly,0,0,0
Will Witty,27,110,196
William Keast,0,0,0
Ambrose Curtis,30,101,191
Benjamin Thiery,0,0,0
Chris Auld,0,0,0
Dafydd Jenkins,0,0,0
Facundo Cordero,0,0,0
Harvey Skinner,0,0,0
Ian Whitten,35,102,188
Iban Etcheverry,24,83,178
Isa Nacewa,40,88,180
Jack Maunder,25,80,177
Jamie Murphy,33,86,178
Joe Simmonds,26,87,182
Josh Hodge,0,0,0
Laurent Bourda-Couhet,28,73,171
Lewis Pearson,0,0,0
Max Norey,0,0,0
Ollie Burrows,0,0,0
Ollie Devoto,29,98,193
Ollie Leatherbarrow,0,0,0
Olly Woodburn,31,94,188
Owain Leonard,0,0,0
Patrick Schickerling,0,0,0
Ray Parkinson,34,90,185
Rus Tuima,0,0,0
Sam Maunder,22,81,180
Stu Townsend,27,86,175
Thibault Lacroix,0,0,0
Tom Hendrickson,28,94,184
Tom O'Flaherty,28,82,180
Alex Craig,0,0,0
Alex Seville,24,108,181
Andrew Davidson,26,105,200
Ben Morgan,33,116,190
Ciaran Knight,24,121,188
Ed Slater,34,116,198
Fraser Balmain,31,116,185
Freddie Clarke,30,114,196
Harry Elrington,29,123,189
Henry Walker,24,103,177
Jack Singleton,27,111,182
Jamal Ford-Robinson,29,115,178
Jordy Reid,0,0,0
Lewis Ludlow,28,96,189
Matt Moulds,31,108,188
Pat MacArthur,35,100,183
Ruan Ackermann,27,108,193
Thomas Bianchin,35,103,183
Val Rapava Ruskin,30,121,191
Wian Conradie,0,0,0
Yan Rosetti,0,0,0
 Louis Hillman-Cooper ,0,0,0
Alex Morgan,0,0,0
Beka Tsiklauri,0,0,0
Ben Meehan,30,87,178
Billy Twelvetrees,34,103,191
Bryan Habana,0,0,0
Bryan O'Connor,0,0,0
Cathal Marsh,0,0,0
Charlie Chapman,0,0,0
Freddie Thomas,0,0,0
George Barton,0,0,0
Giorgi Kveseladze,25,100,185
Jack Clement,0,0,0
Jason Woodward,32,100,188
Jonny May,32,90,189
Kyle Moyle,0,0,0
Lewis Rees-Zammit,0,0,0
Lloyd Evans,27,83,183
Lucas Lebraud,0,0,0
Luke McAlister,39,95,180
Ollie Thorley,26,97,185
Steve Varney ,0,0,0
Tom Seabrook,23,95,183
Tristan Tedder,26,78,180
Antonio Pavanello,0,0,0
Archie White,25,104,187
Charles Geli,35,100,183
Dino Lamb,24,115,193
Jack Kenningham,0,0,0
Jack Walker,26,96,185
James Chisholm,27,106,191
Joe Gray,34,102,186
Louis Martin,0,0,0
Luke Wallace,32,96,185
Matt Symons,33,117,200
Santiago Garcia Botta,30,105,185
Scott Baldwin,34,114,190
Sebastien Ferreira,29,112,195
Simon Kerrod,30,116,182
Stephan Lewies,31,116,200
Tom Lawday,29,109,189
Will Collier,31,110,190
Will Evans,26,91,183
Adam Preocanin,35,86,194
Ben Cima,26,86,185
Ben Tapuai,34,95,180
Cadan Murley,0,0,0
Craig Trenier,0,0,0
Fin Baxter,0,0,0
Finn Baxter,0,0,0
George Hammond,0,0,0
Hugh Tizard,0,0,0
Huw Jones,29,102,185
Jack Stafford,25,85,181
Jordan Els,0,0,0
Lennox Anyanwu,0,0,0
Lewis Gjaltema,25,87,174
Mak Wilson,0,0,0
MatasJurevicius,0,0,0
Matt Protheroe,26,78,180
Nick David,0,0,0
Oscar Beard,0,0,0
Sam Riley,0,0,0
Scott Steele,29,83,175
Tommaso Allan,29,87,184
Tyrone Green,0,0,0
Will Edwards,0,0,0
William Hobson,0,0,0
Andrew Makalio,31,111,182
Ayden Johnstone,26,114,183
Bryn Evans,38,115,196
Christian Leo-Wille,0,0,0
Fabian Holland,0,0,0
Gareth Evans,31,110,191
Hugh Renton,26,95,193
James Lentjes,32,104,188
Josh Hohneck,37,125,190
Liam Coltman,33,112,185
Marino Mikaele Tu'u,25,111,191
Rhys Marshall,30,104,184
Sam Caird,25,116,202
Denny Solomona,29,95,190
Fetuli Paea,28,95,189
Freedom Vahaakolo,0,0,0
Josh Timu,0,0,0
Kayne Hammington,32,75,170
Liam Coombes-Fabling,0,0,0
Luca Inch,0,0,0
Marty Banks,0,0,0
Mitch Hunt,28,80,174
Mosese Dawai,0,0,0
Patelesio Tomkinson,26,94,182
Rory van Vugt,0,0,0
Sam Gilbert,0,0,0
Saula Mau,0,0,0
Scott Gregory,24,93,184
Sean Withy,0,0,0
Solomona Alaimalo,27,99,196
Thomas Umaga-Jensen,25,107,187
Vilimoni Koroi,24,88,180
Alex Fidow,25,132,184
Asafo Aumua,25,105,177
Ben May,40,119,193
Blake Gibson,27,103,186
Brayden Iose,24,100,188
Devan Flanders,23,105,192
Dominic Bird,31,112,206
Du'Plessis Kirifi,0,0,0
Jacob Devery,0,0,0
James Blackwell,27,106,190
James O'Reilly,28,100,183
Jared Proffit,29,110,188
Kianu Kereru-Symes,0,0,0
Pouri Rakete-Stones,25,113,181
Raymond Tuputupu,0,0,0
Tom Parsons,32,112,198
Tyler Laubscher,0,0,0
Xavier Numia,24,111,189
Aiden Morgan,0,0,0
Cameron Roigard,0,0,0
Jackson Garden-Bachop,28,99,183
Jamie Booth,28,82,171
Julian Savea,32,106,192
Logan Henry,0,0,0
Pepesana Patafilo,0,0,0
Peter Umaga-Jensen,25,95,187
Richard Judd,30,86,180
Riley Higgins,0,0,0
Salesi Rayasi,26,115,197
Teihorangi Walden,29,94,182
Wes Goosen,27,92,180
Facundo Bosch,31,100,180
Guram Papidze,0,0,0
Leo Aouf,0,0,0
Mathieu Tanguy,26,119,194
Matthias Haddad,0,0,0
Ramiro Herrera,33,130,191
Reda Wardi,0,0,0
Remi Bourdeau,30,108,194
Remi Picquette,0,0,0
Romain Sazy,37,102,198
Samuel Lagrange,0,0,0
Victor Vito,35,109,192
Wian Liebenberg,30,92,189
Will Skelton,30,140,203
Arthur Retiere,25,76,170
Dillyn Leyds,30,88,185
Guillaume Lagahe,0,0,0
Ihaia West,31,84,175
Jeremy Sinzelle,32,88,181
Jules Lebail,0,0,0
Jules Plisson,31,92,184
Martin Alonso-Munoz,0,0,0
Pierre Boudehent,25,105,196
Pierre Popelin,0,0,0
Raymond Rhule,30,86,180
Simone Rossi,0,0,0
Tawera Kerr-Barlow,32,89,187
Thomas Berjon,0,0,0
Calum Green,32,115,195
Charlie Clare,31,112,182
Dan Cole,35,118,189
Eli Snyman,0,0,0
Francois van Wyk,31,114,189
Hanro Liebenberg,27,118,196
Harry Wells,29,121,196
Jacobus Van Tonder,24,118,197
Jean-Baptiste Poux,43,105,180
Juan Pablo Orlandi,0,0,0
Nephi Leatigaga,0,0,0
Olly Robinson,31,104,183
Sean Jansen,0,0,0
Aurelien Ricart,0,0,0
Bryce Hegarty,30,90,184
Cameron Henderson,0,0,0
Chris Ashton,35,92,183
Dan Kelly,0,0,0
Freddie Burns,32,80,185
George Martin,0,0,0
Gilles Bosch,0,0,0
Harry Potter,0,0,0
Jacobus Van Wyk,31,94,190
Juan Pablo Socino,34,98,174
Matt Scott,32,101,186
Richard Wigglesworth,39,86,176
Tom Cowan-Dickie,0,0,0
Tom Cowan-Dickie ,0,0,0
Tom Manz,0,0,0
Will Hurd,0,0,0
Brian Deeny,23,112,201
Jason Jenkins,27,125,203
Max Deegan,26,108,193
Rhys Ruddock,32,113,190
Ross Molony,28,103,195
Scott Penny,23,104,185
Vakh Abdaladze,27,121,185
Ben Brownlee,20,96,188
Charlie Ngatai,32,100,186
Charlie Tector ,20,95,188
Chris Cosgrave,21,85,183
Dave Kearney,33,91,180
John Mckee,22,102,182
Liam Turner,23,93,173
Luke McGrath,30,84,175
Martin Moloney,22,104,188
Michael Milne,24,115,183
Nick McCarthy,27,84,180
Ross Byrne,27,95,193
Tadgh McElroy,25,100,178
Tom Clarkson,0,0,0
Adam Coleman,31,122,204
Ben Donnell,0,0,0
Ciaran Parker,27,110,188
Facundo Gigena,28,111,182
George Nott,27,110,196
Isaac Curtis-Harris,0,0,0
Jack Cooke,0,0,0
Johan Aliouat,29,106,197
Jonatas Paulo,37,110,177
Marcel Van der Merwe,32,121,186
Matt Rogerson,0,0,0
Matt Williams,0,0,0
Michael Willemse,0,0,0
Mika Tyumenev,31,70,169
Oli Hoskins,29,122,190
Olly Cracknell,28,110,191
Pedro Bengalo,0,0,0
Rob Simmons,33,115,200
Stelian Burcea,39,107,189
Steve Mafi,0,0,0
Tom Pearson,0,0,0
Ben Loader,24,92,188
Benhard Janse van Rensburg,0,0,0
Chandler Cunningham South,0,0,0
Chris Hilsenbeck,31,84,184
Chunya Munga,0,0,0
Cillian Redmond,0,0,0
Curtis Rona,30,102,194
Hugh O'Sullivan,24,81,174
James Stokes,0,0,0
Luke Green,0,0,0
Matt Cornish,0,0,0
Nick Phipps,34,87,180
Paddy Jackson,31,80,180
Phil Cokanasiga,0,0,0
Rory Jennings,27,84,179
Terrence Hepetema,31,95,183
Tom Parton,0,0,0
Will Goodrick-Clarke,0,0,0
Colby Fainga'a,31,101,183
Hamza Kaabeche,26,115,189
Jordan Taufua,31,100,182
Patrick Sobela,30,104,188
Vivien Devisme,30,112,175
Yanis Charcosset,0,0,0
Clement Laporte,25,82,180
Ethan Dumortier,0,0,0
Jean Marc Doussain,31,90,174
Jonathan Pelissie,0,0,0
Jérôme Rey,0,0,0
Lima Sopoaga,32,91,175
Mickael Guillard,0,0,0
Thibaut Regard,0,0,0
Toby Arnold,35,82,179
Ugo Vignolles,0,0,0
Xavier Mignot,29,87,187
Diarmuid Barron,24,100,183
Edwin Edogbo,0,0,0
Jack O'Donoghue,29,110,191
Jean Kleyn,29,121,203
Stephen Archer,35,118,188
Calvin Nash,25,90,180
Dan Goggin,28,97,188
Jack Crowley,23,88,183
John Hodnett,24,105,185
Liam Coombes,25,89,191
Malakai Fekitoa,30,100,187
Roman Salanoa,25,123,183
Shane Daly,26,92,191
Thomas Ahern,22,117,206
Ali Oz,0,0,0
Anthime Hemery,0,0,0
Anton Bresler,34,113,198
Baptiste Chouzenoux,32,96,190
Baptiste Pesenti,25,118,195
Boris Palu,27,109,193
Camille Chat,27,98,178
Cedate Gomes Sa,29,105,185
Eddy Ben Arous,32,109,184
Hassane Kolingar,0,0,0
Luke Jones,31,118,196
Teddy Baubigny,24,109,184
Victor Moreaux,29,123,200
Wenceslas Lauret,33,92,188
Antoine Gibert,25,76,177
Henry Chavancy,34,85,182
Jonathan Maiau,0,0,0
Kurtley Beale,34,92,184
Louis Dupichot,27,88,185
Maxime Machenaud,34,82,173
Mitch Short,0,0,0
Nolann Le Garrec,0,0,0
Olivier Klemenczak,26,87,183
Brad Wilkin,27,103,189
Cameron Orr,27,114,188
Daniel Maiava,0,0,0
Isaac Aedo Kailea,0,0,0
James Hanson,34,104,183
Jordan Uelese,26,122,189
Josh Canham,0,0,0
Josh Hill,0,0,0
Michael Wells,29,103,190
Richard Hardwick,28,102,183
Ross Haylett-Petty,29,110,197
Sef Faagase,31,117,185
Tamati Ioane,25,119,184
Trevor Hosea,0,0,0
Cabous Eloff,0,0,0
Carter Gordon,0,0,0
Efi Ma'afu,0,0,0
George Worth,26,94,190
Glen Vaihu,0,0,0
James Tuttle,26,84,176
Jeral Skelton,0,0,0
Joe Powell,28,83,177
Josh Kemeny,0,0,0
Lachlan Anderson,0,0,0
Llikena Vudogo,0,0,0
