,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Anton Lienert-Brown,Centre,new-zealand,2021, 15 , 3 , 72 , 31 , 2 , 3 , 24 , 3 , 0 , 0 , 0 , 38 , 1 , 2 , 6 , 2 , 0 , 0 
Beauden Barrett,Fly Half,new-zealand,2021, 54 , 3 , 158 , 41 , 8 , 2 , 149 , 12 , 74 , 15 , 3 , 36 , 7 , 3 , 9 , 5 , 0 , 0 
Braydon Ennor,Wing,new-zealand,2021, 0 , 0 , 51 , 18 , 3 , 1 , 9 , 4 , 0 , 0 , 0 , 9 , 2 , 2 , 5 , 2 , 0 , 0 
Caleb Clarke,Left Wing,new-zealand,2021,,,,,,,,,,,,,,,,,,
David Kaetau Havili,Wing,new-zealand,2021, 25 , 5 , 269 , 84 , 10 , 6 , 53 , 13 , 19 , 0 , 0 , 74 , 16 , 3 , 16 , 7 , 1 , 0 
Finlay Christie,Scrum Half,new-zealand,2021, 5 , 1 , 66 , 7 , 4 , 4 , 120 , 3 , 3 , 0 , 0 , 17 , 3 , 2 , 3 , 1 , 0 , 0 
Fletcher Newell,,new-zealand,2021,,,,,,,,,,,,,,,,,,
Folau Fakatava,Scrum half,new-zealand,2021,,,,,,,,,,,,,,,,,,
Jordie Barrett,Fullback,new-zealand,2021, 102 , 3 , 171 , 67 , 6 , 2 , 62 , 6 , 42 , 18 , 17 , 22 , 3 , 1 , 11 , 2 , 0 , 1 
Leicester Fainga'anuku,Wing,new-zealand,2021,,,,,,,,,,,,,,,,,,
Quinn Tupaea,Centre 13,new-zealand,2021, 5 , 1 , 279 , 76 , 15 , 2 , 33 , 11 , 2 , 0 , 0 , 34 , 8 , 4 , 8 , 5 , 0 , 0 
Richie Mo'unga,Fly half,new-zealand,2021, 77 , 2 , 163 , 38 , 14 , 3 , 136 , 7 , 26 , 32 , 1 , 41 , 7 , 2 , 4 , 2 , 0 , 0 
Rieko Ioane,Wing,new-zealand,2021, 25 , 5 , 431 , 80 , 28 , 10 , 79 , 21 , 1 , 0 , 0 , 48 , 4 , 4 , 18 , 7 , 0 , 0 
Roger Tuivasa-Sheck,Centre 12,new-zealand,2021,,,,,,,,,,,,,,,,,,
Sevu Reece,Right Wing,new-zealand,2021, 40 , 8 , 186 , 47 , 7 , 5 , 32 , 10 , 9 , 0 , 0 , 39 , 8 , 4 , 11 , 1 , 0 , 0 
Stephen Perofeta,Fly half,new-zealand,2021,,,,,,,,,,,,,,,,,,
Will Jordan,Fullback,new-zealand,2021, 75 , 15 , 454 , 80 , 20 , 15 , 56 , 13 , 17 , 0 , 0 , 46 , 5 , 4 , 19 , 0 , 0 , 0 
AndreaZambonin,Lock 4,italy,2021,,,,,,,,,,,,,,,,,,
Braam Steyn,Flanker 7,italy,2021, 0 , 0 , 16 , 8 , 0 , 0 , 6 , 2 , 0 , 0 , 0 , 14 , 3 , 0 , 2 , 1 , 0 , 0 
Cherif Traore,Prop,italy,2021, 0 , 0 , 9 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11 , 3 , 0 , 1 , 4 , 0 , 0 
Danilo Fischetti,Prop,italy,2021, 0 , 0 , 34 , 31 , 3 , 0 , 16 , 3 , 0 , 0 , 0 , 48 , 7 , 2 , 8 , 12 , 1 , 0 
David Sisi,Blindside Flanker,italy,2021, 0 , 0 , 20 , 24 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 53 , 6 , 1 , 3 , 2 , 0 , 0 
Federico Ruzza,Lock,italy,2021, 0 , 0 , 44 , 23 , 1 , 0 , 14 , 4 , 0 , 0 , 0 , 41 , 2 , 2 , 4 , 3 , 0 , 0 
Giacomo Nicotera,Hooker,italy,2021,,,,,,,,,,,,,,,,,,
Gianmarco Lucchesi,,italy,2021, 0 , 0 , 2 , 8 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 18 , 3 , 1 , 4 , 0 , 0 , 0 
Giosue Zilocchi,Tighthead Prop,italy,2021, 0 , 0 , 11 , 9 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 33 , 11 , 1 , 2 , 7 , 1 , 0 
Giovanni Pettinelli,Openside Flanker,italy,2021, 0 , 0 , 6 , 3 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 1 , 0 , 0 , 0 
Hame Faiva,Hooker,italy,2021, 5 , 1 , 8 , 4 , 0 , 0 , 5 , 1 , 0 , 0 , 0 , 13 , 0 , 1 , 0 , 0 , 0 , 0 
Ivan Nemer,Loosehead Prop,italy,2021, 0 , 0 , 24 , 10 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 13 , 4 , 2 , 0 , 2 , 0 , 0 
Luca Bigi,Hooker,italy,2021, 5 , 1 , 37 , 28 , 3 , 0 , 13 , 2 , 0 , 0 , 0 , 89 , 5 , 2 , 7 , 10 , 2 , 0 
Manuel Zuliani,Number 8,italy,2021,,,,,,,,,,,,,,,,,,
Marco Fuser,Lock,italy,2021, 0 , 0 , 12 , 8 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 14 , 2 , 2 , 1 , 2 , 0 , 0 
Michele Lamaro,Openside Flanker,italy,2021, 0 , 0 , 76 , 52 , 1 , 1 , 35 , 2 , 1 , 0 , 0 , 107 , 20 , 4 , 9 , 8 , 0 , 0 
Niccolo Cannone,Lock 4,italy,2021, 0 , 0 , 29 , 30 , 0 , 0 , 10 , 1 , 0 , 0 , 0 , 62 , 10 , 1 , 7 , 5 , 0 , 0 
Pietro Ceccarelli,Prop,italy,2021, 0 , 0 , 4 , 5 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 1 , 0 , 0 
Sebastian Negri da Ollegio,Openside Flanker,italy,2021, 0 , 0 , 119 , 73 , 1 , 0 , 6 , 0 , 0 , 0 , 0 , 90 , 5 , 0 , 8 , 4 , 1 , 0 
Tiziano Pasquali,Tight head prop,italy,2021,,,,,,,,,,,,,,,,,,
Toa Halafihi,Number 8,italy,2021,,,,,,,,,,,,,,,,,,
Alessandro Fusco,Fullback,italy,2021, 0 , 0 , 9 , 6 , 1 , 0 , 31 , 1 , 1 , 0 , 0 , 2 , 1 , 0 , 0 , 1 , 0 , 0 
Ange Capuozzo,Fullback,italy,2021,,,,,,,,,,,,,,,,,,
Callum Braley,Scrum half,italy,2021, 0 , 0 , 26 , 8 , 1 , 0 , 116 , 2 , 11 , 0 , 0 , 4 , 4 , 0 , 4 , 2 , 0 , 0 
Edoardo Padovani,Fullback,italy,2021, 0 , 0 , 54 , 28 , 2 , 0 , 18 , 1 , 6 , 0 , 0 , 10 , 5 , 1 , 4 , 0 , 0 , 0 
Federico Mori,Left wing,italy,2021, 0 , 0 , 63 , 26 , 3 , 1 , 15 , 5 , 2 , 0 , 0 , 23 , 2 , 0 , 4 , 3 , 1 , 0 
Giacomo Da Re,Fullback,italy,2021,,,,,,,,,,,,,,,,,,
Juan Ignacio Brex,Centre 12,italy,2021, 0 , 0 , 112 , 40 , 2 , 1 , 30 , 3 , 4 , 0 , 0 , 68 , 23 , 1 , 4 , 4 , 0 , 0 
Leonardo Marin ,Fly Half,italy,2021,,,,,,,,,,,,,,,,,,
Luca Morisi,Centre,italy,2021, 0 , 0 , 27 , 13 , 4 , 0 , 9 , 1 , 2 , 0 , 0 , 18 , 0 , 0 , 2 , 3 , 0 , 0 
Marco Zanon,Centre 12,italy,2021, 0 , 0 , 28 , 11 , 1 , 0 , 7 , 0 , 1 , 0 , 0 , 9 , 1 , 1 , 2 , 0 , 0 , 0 
Mark Sorenson,Wing,italy,2021, 5 , 1 , 66 , 10 , 2 , 2 , 5 , 3 , 1 , 0 , 0 , 3 , 1 , 1 , 1 , 0 , 0 , 0 
Monty Ioane,Right Wing,italy,2021, 10 , 2 , 206 , 66 , 12 , 2 , 42 , 7 , 7 , 0 , 0 , 24 , 7 , 1 , 7 , 1 , 1 , 0 
Paolo Garbisi,Fly half,italy,2021, 50 , 0 , 86 , 41 , 3 , 1 , 139 , 7 , 58 , 7 , 12 , 61 , 13 , 2 , 12 , 2 , 0 , 0 
Pierre Bruno,Wing,italy,2021, 5 , 1 , 66 , 10 , 2 , 2 , 5 , 3 , 1 , 0 , 0 , 3 , 1 , 1 , 1 , 0 , 0 , 0 
Stephen Varney,Scrum half,italy,2021, 5 , 1 , 34 , 17 , 3 , 2 , 349 , 4 , 22 , 0 , 0 , 30 , 14 , 1 , 10 , 1 , 0 , 0 
Tommaso Menoncello,Left Wing,italy,2021,,,,,,,,,,,,,,,,,,
Diego Arbelo,Prop,uruguay,2021, 0 , 0 , 6 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 2 , 0 , 2 , 5 , 0 , 0 
Eric dos Santos Madeira,Blindside Flanker,uruguay,2021,,,,,,,,,,,,,,,,,,
Franco Lamanna,Lock,uruguay,2021, 0 , 0 , 6 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
German Kessler,Hooker,uruguay,2021, 0 , 0 , 15 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 1 , 3 , 0 , 0 , 0 
Kisi Pulu,Prop,uruguay,2021,,,,,,,,,,,,,,,,,,
Luke Crocker,Lock,uruguay,2021,,,,,,,,,,,,,,,,,,
Manuel Ardao,Flanker 6,uruguay,2021, 0 , 0 , 14 , 9 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 9 , 0 , 4 , 0 , 2 , 0 , 0 
Manuel Diana,Number 8,uruguay,2021, 0 , 0 , 50 , 20 , 0 , 0 , 10 , 4 , 0 , 0 , 0 , 12 , 1 , 0 , 1 , 1 , 0 , 0 
Manuel Leindekar,Lock,uruguay,2021, 0 , 0 , 12 , 6 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 
Mateo Sanguinetti,Prop,uruguay,2021, 5 , 1 , 15 , 8 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 5 , 5 , 0 , 0 , 3 , 0 , 0 
Santiago Civetta,Flanker 7,uruguay,2021, 0 , 0 , 14 , 7 , 1 , 0 , 3 , 1 , 0 , 0 , 0 , 8 , 1 , 1 , 0 , 0 , 0 , 0 
Agustin Ormaechea,Fullback,uruguay,2021,,,,,,,,,,,,,,,,,,
Diego Magno,,uruguay,2021, 0 , 0 , 5 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 
Facundo Gattas,,uruguay,2021, 0 , 0 , 6 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 2 , 0 , 0 , 0 
Federico Favaro,Wing,uruguay,2021, 3 , 0 , -1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 1 , 0 , 0 , 0 
Felipe Arcos Perez,Outside centre,uruguay,2021,,,,,,,,,,,,,,,,,,
Felipe Etcheverry,,uruguay,2021, 0 , 0 , 14 , 5 , 1 , 0 , 19 , 1 , 7 , 0 , 0 , 6 , 3 , 0 , 3 , 1 , 0 , 0 
Gaston Mieres,Fullback,uruguay,2021, 0 , 0 , 7 , 5 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 0 , 0 , 0 
Ignacio Péculo,Fullback,uruguay,2021,,,,,,,,,,,,,,,,,,
Deon Fourie,Openside Flanker,south-africa,2021,,,,,,,,,,,,,,,,,,
Duane Vermeulen,Number 8,south-africa,2021, 0 , 0 , 76 , 37 , 1 , 0 , 3 , 0 , 0 , 0 , 0 , 41 , 4 , 6 , 2 , 2 , 0 , 0 
Eben Etzebeth,Lock,south-africa-a,2021, 0 , 0 , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 18 , 2 , 1 , 0 , 2 , 0 , 0 
Elrigh Louw,Number 8,south-africa,2021,,,,,,,,,,,,,,,,,,
Franco Mostert ,Openside flanker,south-africa,2021,,,,,,,,,,,,,,,,,,
Frans Malherbe,Prop,south-africa,2021, 0 , 0 , 8 , 11 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 41 , 5 , 1 , 1 , 2 , 0 , 0 
Jasper Wiese,Number 8,south-africa-a,2021, 0 , 0 , 16 , 11 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 18 , 3 , 0 , 4 , 0 , 0 , 0 
Joeseph Dweba,Hooker,south-africa-a,2021, 0 , 0 , 13 , 7 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 13 , 0 , 0 , 3 , 2 , 0 , 0 
Kwagga Smith,Flanker 6,south-africa-a,2021, 0 , 0 , 20 , 9 , 2 , 0 , 2 , 0 , 0 , 0 , 0 , 11 , 4 , 0 , 2 , 1 , 0 , 0 
Lood De Jager,Lock 4,south-africa,2021, 0 , 0 , 69 , 54 , 1 , 0 , 3 , 0 , 0 , 0 , 0 , 109 , 14 , 9 , 6 , 7 , 0 , 0 
Malcolm Marx,Hooker,south-africa-a,2021, 0 , 0 , 2 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10 , 1 , 1 , 4 , 0 , 0 , 0 
Marcell Coetzee,Flanker 6,south-africa,2021,,,,,,,,,,,,,,,,,,
Marvin Orie,Lock,south-africa,2021, 0 , 0 , 7 , 11 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 11 , 3 , 0 , 1 , 2 , 0 , 0 
Mbongeni Mbonami,Hooker,south-africa,2021, 10 , 2 , 32 , 30 , 1 , 1 , 7 , 1 , 0 , 0 , 0 , 57 , 8 , 1 , 15 , 2 , 0 , 0 
Ox Nche,Prop,south-africa,2021, 0 , 0 , 36 , 17 , 1 , 0 , 4 , 1 , 0 , 0 , 0 , 36 , 5 , 0 , 3 , 5 , 1 , 0 
Pieter-Steph du Toit,Flanker 7,south-africa-a,2021, 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 1 , 0 , 0 
Ruan Nortje,Lock,south-africa,2021,,,,,,,,,,,,,,,,,,
Rynhard Elstadt,Lock,south-africa-a,2021, 0 , 0 , 6 , 7 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 19 , 2 , 1 , 2 , 2 , 0 , 0 
Salmaan Moerat,Lock,south-africa,2021,,,,,,,,,,,,,,,,,,
Siya Kolisi,Blindside Flanker,south-africa,2021, 0 , 0 , 111 , 42 , 4 , 1 , 23 , 3 , 0 , 0 , 0 , 108 , 10 , 8 , 9 , 6 , 2 , 0 
Steven Kitshoff,Prop,south-africa-a,2021, 0 , 0 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11 , 3 , 0 , 0 , 0 , 0 , 0 
Thomas du Toit,Prop,south-africa-a,2021, 0 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 3 , 0 , 2 , 1 , 0 , 0 
