,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Anthony Jelonch,Flanker 7,france,2020, 0 , 0 , 22 , 14 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 32 , 2 , 2 , 0 , 1 , 0 , 0 
Bernard Le Roux,Flanker 6,france,2020, 0 , 0 , 35 , 30 , 1 , 0 , 6 , 1 , 0 , 0 , 0 , 97 , 10 , 1 , 2 , 4 , 0 , 0 
Cameron Woki,Flanker 7,france,2020, 0 , 0 , 38 , 12 , 1 , 1 , 5 , 2 , 0 , 0 , 0 , 21 , 1 , 5 , 2 , 2 , 0 , 0 
Charles Ollivon,Number 8,france,2020, 20 , 4 , 89 , 34 , 1 , 0 , 6 , 4 , 0 , 0 , 0 , 79 , 10 , 2 , 7 , 5 , 0 , 0 
Cyril Baille,Prop,france,2020, 0 , 0 , 21 , 22 , 1 , 0 , 14 , 2 , 0 , 0 , 0 , 30 , 1 , 2 , 2 , 4 , 0 , 0 
Daniel Bibi Bizuwu,Prop,france,2020,,,,,,,,,,,,,,,,,,
Dany Priso,Prop,france,2020,,,,,,,,,,,,,,,,,,
Demba Bamba,Tighthead Prop,france,2020, 0 , 0 , 39 , 22 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 23 , 2 , 2 , 2 , 5 , 0 , 0 
Dylan Cretin,Number 8,france,2020, 0 , 0 , 8 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 2 , 3 , 0 , 4 , 0 , 0 
Florent Vanverberghe,Number 8,france,2020,,,,,,,,,,,,,,,,,,
Florian Verhaeghe,Lock,france,2020,,,,,,,,,,,,,,,,,,
Francois Cros,Blindside Flanker,france,2020, 0 , 0 , 21 , 8 , 4 , 0 , 3 , 1 , 0 , 0 , 0 , 46 , 5 , 4 , 3 , 2 , 1 , 0 
Gaeton Barlot, Hooker,france,2020,,,,,,,,,,,,,,,,,,
Gregory Alldritt,Flanker 7,france,2020, 5 , 1 , 161 , 84 , 8 , 2 , 15 , 4 , 0 , 0 , 0 , 90 , 3 , 3 , 10 , 7 , 1 , 0 
Ibrahim Diallo,Flanker 7,france,2020,,,,,,,,,,,,,,,,,,
Jean-Baptiste Gros,Loosehead Prop,france,2020, 0 , 0 , 6 , 7 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 19 , 2 , 0 , 0 , 4 , 0 , 0 
Julien Marchand,Hooker,france,2020, 0 , 0 , 50 , 33 , 2 , 0 , 8 , 3 , 0 , 0 , 0 , 46 , 5 , 5 , 3 , 2 , 0 , 0 
Mohammed Haouas,Prop,france,2020, 0 , 0 , 18 , 16 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 28 , 3 , 1 , 1 , 5 , 1 , 1 
Paul Boudehent,Openside Flanker,france,2020,,,,,,,,,,,,,,,,,,
Paul Willemse,Lock,france,2020, 5 , 1 , 52 , 26 , 3 , 2 , 7 , 1 , 0 , 0 , 0 , 62 , 4 , 2 , 6 , 2 , 0 , 0 
Peato Mauvaka,Hooker,france,2020, 0 , 0 , 12 , 10 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 21 , 2 , 1 , 6 , 2 , 0 , 0 
Pierre Bourgarit,Hooker,france,2020, 0 , 0 , 10 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 0 
Romain Taofifenua,Lock,france,2020, 0 , 0 , 20 , 10 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 23 , 2 , 1 , 2 , 1 , 0 , 0 
Sebastien Taofifenua,Prop,france,2020,,,,,,,,,,,,,,,,,,
Sekou Macalou,Flanker 7,france,2020, 5 , 1 , 11 , 7 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 17 , 0 , 4 , 5 , 2 , 0 , 0 
Selevasio Tolofua,Flanker 6,france,2020, 0 , 0 , 12 , 11 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 7 , 0 , 1 , 1 , 0 , 0 , 0 
Sipili Falatea,Prop,france,2020,,,,,,,,,,,,,,,,,,
Thibaud Flament,Lock 5,france,2020,,,,,,,,,,,,,,,,,,
Thomas Jolmes,Lock,france,2020,,,,,,,,,,,,,,,,,,
Thomas Lavault,Lock,france,2020,,,,,,,,,,,,,,,,,,
Uini Atonio,Prop,france,2020, 0 , 0 , 10 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 1 , 0 , 0 
Yoan Tanga Mangene,Openside Flanker,france,2020,,,,,,,,,,,,,,,,,,
Antoine Dupont,Scrum Half,france,2020, 5 , 1 , 128 , 37 , 10 , 4 , 329 , 13 , 60 , 0 , 0 , 35 , 7 , 2 , 18 , 4 , 0 , 0 
Antoine Hastoy,Fly Half,france,2020,,,,,,,,,,,,,,,,,,
Baptiste Couilloud,Scrum half,france,2020, 0 , 0 , 2 , 6 , 0 , 0 , 85 , 2 , 11 , 0 , 0 , 8 , 0 , 1 , 1 , 1 , 0 , 0 
Brice Dulin,Fullback,france,2020, 5 , 1 , 55 , 23 , 3 , 0 , 14 , 2 , 31 , 0 , 0 , 4 , 0 , 0 , 3 , 1 , 0 , 0 
Damian Penaud,Centre,france,2020, 5 , 1 , 22 , 5 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 1 , 1 , 0 , 0 , 0 
GabinVillière,Wing,france,2020, 5 , 1 , 54 , 10 , 0 , 1 , 3 , 2 , 2 , 0 , 0 , 12 , 0 , 1 , 0 , 1 , 0 , 0 
Gael Fickou,Centre,france,2020, 0 , 0 , 120 , 39 , 7 , 3 , 22 , 3 , 7 , 0 , 0 , 48 , 7 , 0 , 3 , 1 , 0 , 0 
Jonathan Danty,Centre,france,2020, 5 , 1 , 40 , 11 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 12 , 0 , 2 , 1 , 0 , 0 , 0 
Jules Favre,Centre 12,france,2020,,,,,,,,,,,,,,,,,,
Leo Berdeu,Fly Half,france,2020,,,,,,,,,,,,,,,,,,
Matthieu Jalibert,Fly half,france,2020, 34 , 0 , 88 , 30 , 7 , 3 , 54 , 3 , 54 , 8 , 5 , 22 , 9 , 2 , 5 , 0 , 0 , 0 
Matthis Lebel,Fullback,france,2020,,,,,,,,,,,,,,,,,,
Max Spring,Fullback,france,2020,,,,,,,,,,,,,,,,,,
Maxime Lucu,Fly half,france,2020,,,,,,,,,,,,,,,,,,
Melvyn Jaminet,Fullback,france,2020,,,,,,,,,,,,,,,,,,
