,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Anthony Jelonch,Flanker 7,france,2022, 10 , 2 , 64 , 27 , 1 , 1 , 10 , 5 , 0 , 0 , 0 , 71 , 8 , 4 , 3 , 5 , 0 , 0 
Bernard Le Roux,Flanker 6,france,2022,,,,,,,,,,,,,,,,,,
Cameron Woki,Flanker 7,france,2022, 0 , 0 , 34 , 16 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 32 , 3 , 2 , 0 , 3 , 0 , 0 
Charles Ollivon,Number 8,france,2022, 0 , 0 , 17 , 14 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 24 , 1 , 1 , 0 , 2 , 0 , 0 
Cyril Baille,Prop,france,2022, 5 , 1 , 69 , 27 , 0 , 0 , 14 , 9 , 0 , 0 , 0 , 35 , 2 , 0 , 2 , 1 , 0 , 0 
Daniel Bibi Bizuwu,Prop,france,2022,,,,,,,,,,,,,,,,,,
Dany Priso,Prop,france,2022, 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 7 , 2 , 1 , 0 , 3 , 0 , 0 
Demba Bamba,Tighthead Prop,france,2022, 0 , 0 , 34 , 16 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 23 , 4 , 0 , 5 , 5 , 0 , 0 
Dylan Cretin,Number 8,france,2022, 0 , 0 , 32 , 15 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 37 , 5 , 4 , 2 , 0 , 0 , 0 
Florent Vanverberghe,Number 8,france,2022,,,,,,,,,,,,,,,,,,
Florian Verhaeghe,Lock,france,2022,,,,,,,,,,,,,,,,,,
Francois Cros,Blindside Flanker,france,2022, 5 , 1 , 26 , 14 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 61 , 5 , 4 , 1 , 2 , 0 , 0 
Gaeton Barlot, Hooker,france,2022,,,,,,,,,,,,,,,,,,
Gregory Alldritt,Flanker 7,france,2022, 0 , 0 , 151 , 63 , 2 , 0 , 23 , 7 , 0 , 0 , 0 , 60 , 7 , 9 , 10 , 7 , 0 , 0 
Ibrahim Diallo,Flanker 7,france,2022, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 
Jean-Baptiste Gros,Loosehead Prop,france,2022, 0 , 0 , 28 , 9 , 0 , 0 , 5 , 1 , 0 , 0 , 0 , 39 , 3 , 5 , 0 , 3 , 0 , 0 
Julien Marchand,Hooker,france,2022, 0 , 0 , 79 , 35 , 0 , 0 , 9 , 2 , 0 , 0 , 0 , 24 , 2 , 5 , 8 , 2 , 0 , 0 
Mohammed Haouas,Prop,france,2022, 0 , 0 , 2 , 2 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 8 , 1 , 0 , 0 , 0 , 0 , 0 
Paul Boudehent,Openside Flanker,france,2022,,,,,,,,,,,,,,,,,,
Paul Willemse,Lock,france,2022, 5 , 1 , 36 , 16 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 41 , 10 , 2 , 2 , 3 , 0 , 0 
Peato Mauvaka,Hooker,france,2022, 0 , 0 , 48 , 18 , 2 , 1 , 8 , 4 , 0 , 0 , 0 , 24 , 2 , 4 , 3 , 3 , 0 , 0 
Pierre Bourgarit,Hooker,france,2022, 5 , 1 , 18 , 5 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 3 , 0 , 0 , 0 
Romain Taofifenua,Lock,france,2022, 0 , 0 , 25 , 10 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 13 , 1 , 1 , 0 , 0 , 0 , 0 
Sebastien Taofifenua,Prop,france,2022,,,,,,,,,,,,,,,,,,
Sekou Macalou,Flanker 7,france,2022, 0 , 0 , 5 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 2 , 3 , 0 , 0 
