,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Jan-Hendrik Wessels,Prop,bulls,2022, 5 , 1 , 17 , 11 , 0 , 0 , 4 , 2 , 0 , 0 , 0 , 10 , 3 , 1 , 7 , 4 , 1 , 0 
Janko Swanepoel,Lock,bulls,2022, 0 , 0 , 7 , 5 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 15 , 1 , 6 , 2 , 2 , 0 , 0 
Joe Van Zyl,Hooker,blue-bulls,2022, 5 , 1 , 11 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 4 , 0 , 2 , 0 , 0 , 0 
Juan Mostert,Outside Half,blue-bulls,2022, 19 , 1 , 25 , 14 , 1 , 0 , 33 , 1 , 5 , 7 , 0 , 16 , 12 , 2 , 7 , 0 , 0 , 0 
Kabelo Mokoena,Fullback,blue-bulls,2022, 0 , 0 , 4 , 2 , 0 , 0 , 3 , 2 , 0 , 0 , 0 , 1 , 2 , 0 , 1 , 1 , 0 , 0 
Keagan Johannes,Scrum Half,blue-bulls,2022, 20 , 3 , 40 , 19 , 3 , 2 , 250 , 4 , 51 , 1 , 1 , 34 , 14 , 4 , 7 , 6 , 0 , 0 
Kurt-Lee Arendse,Full Back,bulls,2022, 40 , 8 , 178 , 51 , 13 , 5 , 20 , 6 , 15 , 0 , 0 , 27 , 4 , 4 , 14 , 0 , 0 , 0 
Lionel Mapoe,Centre,bulls,2022, 15 , 3 , 130 , 46 , 6 , 3 , 36 , 16 , 9 , 0 , 0 , 43 , 11 , 0 , 10 , 4 , 0 , 0 
Marco Jansen Van Vuuren,Scrum half,blue-bulls,2022, 5 , 1 , 103 , 38 , 3 , 2 , 104 , 2 , 11 , 0 , 0 , 64 , 13 , 9 , 11 , 1 , 0 , 0 
Mheli Dlamini,Fullback,blue-bulls,2022, 5 , 1 , 8 , 10 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 5 , 2 , 0 , 0 , 2 , 0 , 0 
Michael Tambwe,Wing,blue-bulls,2022, 5 , 1 , 26 , 8 , 0 , 0 , 5 , 3 , 1 , 0 , 0 , 7 , 1 , 1 , 1 , 2 , 1 , 0 
Morne Steyn,Fly Half,bulls,2022, 46 , 0 , 8 , 6 , 1 , 0 , 102 , 1 , 41 , 17 , 4 , 28 , 7 , 0 , 3 , 2 , 0 , 1 
Muller Uys,Number 8,blue-bulls,2022, 5 , 1 , 154 , 81 , 5 , 3 , 22 , 3 , 0 , 0 , 0 , 62 , 11 , 2 , 14 , 10 , 0 , 0 
Niel Beukes,Fullback,blue-bulls,2022, 0 , 0 , 8 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 
Quewin Nortje,Left wing,blue-bulls,2022, 0 , 0 , 4 , 2 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 8 , 2 , 0 , 2 , 0 , 0 , 0 
Raynard Roets,Fullback,blue-bulls,2022, 0 , 0 , 7 , 4 , 1 , 1 , 4 , 0 , 0 , 0 , 0 , 47 , 3 , 6 , 4 , 3 , 0 , 0 
Richard Kriel,Full Back,blue-bulls,2022, 5 , 1 , 80 , 25 , 5 , 2 , 16 , 6 , 10 , 0 , 0 , 25 , 4 , 3 , 8 , 3 , 0 , 0 
Ruan Delport,Fullback,blue-bulls,2022, 0 , 0 , 2 , 3 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 14 , 3 , 1 , 0 , 0 , 0 , 0 
Schalk Erasmus,,blue-bulls,2022, 0 , 0 , 41 , 21 , 0 , 0 , 11 , 1 , 0 , 0 , 0 , 39 , 3 , 2 , 10 , 3 , 0 , 0 
Sean Cox,Centre,blue-bulls,2022,,,,,,,,,,,,,,,,,,
Sebastian Lombard,Fullback,blue-bulls,2022, 0 , 0 , 5 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 
Sidney Tobias,Hooker,blue-bulls,2022, 0 , 0 , 27 , 19 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 10 , 0 , 0 , 3 , 2 , 1 , 0 
Stedman Gans,Centre,bulls,2022, 0 , 0 , 2 , 3 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 7 , 0 , 1 , 1 , 0 , 0 , 0 
Stephan Smit,Fullback,blue-bulls,2022, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 0 , 1 , 1 , 1 , 0 
Stravino Jacobs,Right Wing,bulls,2022, 5 , 1 , 32 , 5 , 2 , 1 , 0 , 0 , 2 , 0 , 0 , 1 , 1 , 0 , 2 , 2 , 0 , 0 
Tarquin Manuel ,Fullback,blue-bulls,2022, 0 , 0 , 6 , 7 , 1 , 0 , 4 , 2 , 2 , 0 , 0 , 14 , 3 , 0 , 1 , 0 , 0 , 0 
Tiaan Fourie,Fullback,blue-bulls,2022, 0 , 0 , 44 , 2 , 0 , 1 , 10 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 
Tielman Nieuwoudt,Fullback,blue-bulls,2022, 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 
Willie Potgieter,Fullback,blue-bulls,2022, 0 , 0 , 15 , 4 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 4 , 3 , 1 , 0 , 0 , 0 , 0 
Atunaisa Moli,Prop,bristol,2022, 20 , 4 , 96 , 25 , 5 , 3 , 11 , 5 , 1 , 0 , 0 , 11 , 7 , 3 , 2 , 1 , 0 , 2 
Bryan Byrne,Hooker,bristol,2022, 5 , 1 , 7 , 6 , 0 , 0 , 7 , 0 , 0 , 0 , 0 , 34 , 3 , 0 , 2 , 2 , 0 , 0 
Christopher Vui,Flanker 6,bristol,2022, 5 , 1 , 71 , 41 , 3 , 1 , 59 , 7 , 0 , 0 , 0 , 96 , 12 , 4 , 3 , 13 , 0 , 0 
Daniel Thomas,Flanker 7,bristol,2022,,,,,,,,,,,,,,,,,,
Dave Attwood,Lock,bristol,2022, 5 , 1 , 9 , 15 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 23 , 2 , 3 , 1 , 3 , 1 , 0 
Ed Holmes,Flanker 6,bristol,2022, 0 , 0 , 28 , 14 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 29 , 7 , 0 , 1 , 0 , 0 , 0 
Harry Thacker,Hooker,bristol,2022, 30 , 6 , 123 , 43 , 3 , 3 , 39 , 5 , 0 , 0 , 0 , 72 , 3 , 4 , 8 , 7 , 1 , 0 
Jake Armstrong,Prop,bristol,2022, 0 , 0 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 10 , 0 , 0 , 0 , 1 , 0 , 0 
Jake Heenan,Flanker 7,bristol,2022, 0 , 0 , 18 , 9 , 1 , 0 , 8 , 1 , 0 , 0 , 0 , 16 , 5 , 2 , 2 , 1 , 0 , 0 
Jake Kerr,Hooker,bristol,2022, 5 , 1 , 26 , 16 , 0 , 0 , 6 , 3 , 0 , 0 , 0 , 18 , 0 , 1 , 3 , 0 , 0 , 0 
Jake Woolmore,Prop,bristol,2022, 0 , 0 , 17 , 14 , 0 , 0 , 7 , 0 , 1 , 0 , 0 , 61 , 3 , 1 , 2 , 6 , 0 , 0 
Joe Joyce,Lock,bristol,2022, 0 , 0 , 42 , 28 , 0 , 0 , 28 , 5 , 0 , 0 , 0 , 100 , 6 , 3 , 5 , 4 , 1 , 0 
John Afoa,Prop,bristol,2022, 0 , 0 , 11 , 11 , 0 , 0 , 11 , 0 , 0 , 0 , 0 , 33 , 3 , 1 , 2 , 6 , 0 , 0 
John Hawkins,Lock,bristol,2022, 0 , 0 , 15 , 11 , 0 , 0 , 3 , 1 , 14 , 0 , 0 , 38 , 3 , 1 , 2 , 4 , 0 , 0 
Kyle Sinckler,Tighthead Prop,lions,2022,,,,,,,,,,,,,,,,,,
Lindokuhle Welemu,Lock,bristol,2022,,,,,,,,,,,,,,,,,,
Matt Mullan,Prop,bristol,2022,,,,,,,,,,,,,,,,,,
Max Lahiff,Loosehead Prop,bristol,2022, 5 , 1 , 46 , 24 , 3 , 0 , 6 , 3 , 0 , 0 , 0 , 43 , 6 , 0 , 1 , 3 , 0 , 0 
Mitch Eadie,Flanker 6,bristol,2022, 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 
Sam Jeffries,Flanker 6,bristol,2022, 5 , 1 , 29 , 18 , 2 , 0 , 14 , 2 , 0 , 0 , 0 , 56 , 6 , 3 , 4 , 8 , 0 , 0 
Steven Luatua,Blindside Flanker,bristol,2022, 10 , 2 , 52 , 22 , 7 , 1 , 20 , 9 , 0 , 0 , 0 , 28 , 2 , 5 , 4 , 4 , 1 , 0 
Will Capon,Hooker,bristol,2022, 5 , 1 , 150 , 65 , 17 , 0 , 10 , 7 , 2 , 0 , 0 , 21 , 1 , 1 , 3 , 2 , 0 , 0 
