tournament,venue_country,match_year,team_a,team_b,home_a,home_b
2023 World Cup,France,2023,France,South Africa,1,0
2023 World Cup,France,2023,New Zealand,Ireland,0,0
2023 World Cup,France,2023,Australia,Argentina,0,0
2023 World Cup,France,2023,Wales,England,0,0
