,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Hame Faiva,Hooker,italy,2019,,,,,,,,,,,,,,,,,,
Ivan Nemer,Loosehead Prop,italy,2019,,,,,,,,,,,,,,,,,,
Luca Bigi,Hooker,italy,2019, 0 , 0 , 27 , 13 , 0 , 2 , 2 , 1 , 0 , 0 , 0 , 23 , 0 , 0 , 1 , 2 , 0 , 0 
Manuel Zuliani,Number 8,italy,2019,,,,,,,,,,,,,,,,,,
Marco Fuser,Lock,italy,2019,,,,,,,,,,,,,,,,,,
Michele Lamaro,Openside Flanker,italy,2019,,,,,,,,,,,,,,,,,,
Niccolo Cannone,Lock 4,italy,2019,,,,,,,,,,,,,,,,,,
Pietro Ceccarelli,Prop,italy,2019,,,,,,,,,,,,,,,,,,
Sebastian Negri da Ollegio,Openside Flanker,italy,2019, 5 , 1 , 58 , 23 , 2 , 2 , 7 , 2 , 0 , 0 , 0 , 22 , 0 , 0 , 2 , 1 , 0 , 0 
Tiziano Pasquali,Tight head prop,italy,2019, 0 , 0 , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 
Toa Halafihi,Number 8,italy,2019,,,,,,,,,,,,,,,,,,
Alessandro Fusco,Fullback,italy,2019,,,,,,,,,,,,,,,,,,
Ange Capuozzo,Fullback,italy,2019,,,,,,,,,,,,,,,,,,
Callum Braley,Scrum half,italy,2019, 0 , 0 , 12 , 5 , 1 , 0 , 200 , 1 , 19 , 0 , 0 , 9 , 2 , 0 , 5 , 1 , 0 , 0 
Edoardo Padovani,Fullback,italy,2019, 5 , 1 , 44 , 12 , 3 , 3 , 5 , 0 , 0 , 0 , 0 , 13 , 4 , 2 , 1 , 1 , 0 , 0 
Federico Mori,Left wing,italy,2019,,,,,,,,,,,,,,,,,,
Giacomo Da Re,Fullback,italy,2019,,,,,,,,,,,,,,,,,,
Juan Ignacio Brex,Centre 12,italy,2019,,,,,,,,,,,,,,,,,,
Leonardo Marin ,Fly Half,italy,2019,,,,,,,,,,,,,,,,,,
Luca Morisi,Centre,italy,2019,,,,,,,,,,,,,,,,,,
Marco Zanon,Centre 12,italy,2019, 0 , 0 , 3 , 2 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 
Mark Sorenson,Wing,italy,2019,,,,,,,,,,,,,,,,,,
Monty Ioane,Right Wing,italy,2019,,,,,,,,,,,,,,,,,,
Paolo Garbisi,Fly half,italy,2019,,,,,,,,,,,,,,,,,,
Pierre Bruno,Wing,italy,2019,,,,,,,,,,,,,,,,,,
Stephen Varney,Scrum half,italy,2019,,,,,,,,,,,,,,,,,,
Tommaso Menoncello,Left Wing,italy,2019,,,,,,,,,,,,,,,,,,
Diego Arbelo,Prop,uruguay,2019, 0 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14 , 2 , 0 , 0 , 3 , 0 , 0 
Eric dos Santos Madeira,Blindside Flanker,uruguay,2019,,,,,,,,,,,,,,,,,,
Franco Lamanna,Lock,uruguay,2019, 0 , 0 , 15 , 7 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 11 , 2 , 0 , 0 , 0 , 0 , 0 
German Kessler,Hooker,uruguay,2019,,,,,,,,,,,,,,,,,,
Kisi Pulu,Prop,uruguay,2019,,,,,,,,,,,,,,,,,,
Luke Crocker,Lock,uruguay,2019,,,,,,,,,,,,,,,,,,
Manuel Ardao,Flanker 6,uruguay,2019, 0 , 0 , 15 , 8 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 7 , 3 , 4 , 3 , 0 , 0 , 0 
Manuel Diana,Number 8,uruguay,2019,,,,,,,,,,,,,,,,,,
