,position,team,year
Gaston Mieres,Fullback,uruguay,2018
Ignacio Péculo,Fullback,uruguay,2018
Deon Fourie,Openside Flanker,south-africa,2018
Duane Vermeulen,Number 8,south-africa,2018
Eben Etzebeth,Lock,south-africa-a,2018
Elrigh Louw,Number 8,south-africa,2018
Franco Mostert ,Openside flanker,south-africa,2018
Frans Malherbe,Prop,south-africa,2018
Jasper Wiese,Number 8,south-africa-a,2018
Joeseph Dweba,Hooker,south-africa-a,2018
Kwagga Smith,Flanker 6,south-africa-a,2018
Lood De Jager,Lock 4,south-africa,2018
Malcolm Marx,Hooker,south-africa-a,2018
Marcell Coetzee,Flanker 6,south-africa,2018
Marvin Orie,Lock,south-africa,2018
Mbongeni Mbonami,Hooker,south-africa,2018
Ox Nche,Prop,south-africa,2018
Pieter-Steph du Toit,Flanker 7,south-africa-a,2018
Ruan Nortje,Lock,south-africa,2018
Rynhard Elstadt,Lock,south-africa-a,2018
Salmaan Moerat,Lock,south-africa,2018
Siya Kolisi,Blindside Flanker,south-africa,2018
Steven Kitshoff,Prop,south-africa-a,2018
Thomas du Toit,Prop,south-africa-a,2018
Trevor Nyakane,Prop,south-africa-a,2018
Vincent Koch,Prop,south-africa-a,2018
Andre Esterhuizen,Centre,south-africa,2018
Aphelele Fassi,Fullback,south-africa-a,2018
Canan Moodie,Right wing,south-africa,2018
Cheslin Kolbe,Fullback,south-africa-a,2018
Damian Willemse,Fly half,south-africa-a,2018
Damian de Allende,Centre,south-africa-a,2018
Elton Jantjies,Fly half,south-africa-a,2018
Evan Roos,Number 8,south-africa,2018
Francois de Klerk,Scrum Half,south-africa-a,2018
Frans Steyn,Centre,south-africa,2018
Grant Williams,Scrum half,south-africa,2018
Handre Pollard,Fly half,south-africa,2018
Hershel Jantjies,Scrum half,south-africa-a,2018
Jacobus Reinach,Scrum half,south-africa-a,2018
Jaden Hendrikse,Scrum Half,south-africa,2018
Jesse Kriel,Centre,south-africa-a,2018
Kurt-Lee Arendse,Full Back,south-africa,2018
Lukhanyo Am,Centre,south-africa-a,2018
Makazole Mapimpi,Wing,south-africa,2018
Ntuthuko Mchunu,Prop,south-africa,2018
Warrick Gelant,Fullback,south-africa,2018
Willie Le Roux,Fullback,south-africa-a,2018
Andrew Porter,Prop,ireland,2018
Caelan Doris,Number 8,ireland,2018
Cian Healy,Prop,ireland,2018
Cian Prendergast,Number 8,ireland,2018
Dan Sheehan,Hooker,ireland,2018
Dave Heffernan,Hooker,ireland,2018
Dave Kilcoyne,Prop,ireland,2018
Ed Byrne,Loosehead Prop,ireland,2018
Finlay Bealham,Prop,ireland,2018
Gavin Coombes,Flanker 6,ireland,2018
Iain Henderson,Lock,ireland,2018
Jack Conan,Number 8,ireland,2018
James Ryan,Lock,ireland,2018
Jeremy Loughman,Prop,ireland,2018
Joe McCarthy,Lock 5,ireland,2018
Josh Van der Flier,Flanker 7,ireland,2018
Kieran Treadwell,Lock,ireland,2018
Michael Bent,Tighthead Prop,ireland,2018
Niall Scannell,Hooker,ireland,2018
Nick Timoney,Number 8,ireland,2018
Peter O'Mahony,Flanker 7,ireland,2018
Rob Herring,Hooker,ireland,2018
Ronan Kelleher,Hooker,ireland,2018
Ryan Baird,Lock,ireland,2018
Tadgh Beirne,Lock,ireland,2018
Tadhg Furlong,Tighthead Prop,ireland,2018
Tom O'Toole,Prop,ireland,2018
Andrew Conway,Wing,ireland,2018
Bundee Aki,Centre,ireland,2018
Ciaran Frawley,Fly half,ireland,2018
Conor Murray,Scrum half,ireland,2018
Craig Casey,Scrum Half,ireland,2018
Garry Ringrose,Centre,ireland,2018
Hugo Keenan,Fullback,ireland,2018
Jack Carty,Fly half,ireland,2018
James Hume,Centre 13,ireland,2018
James Lowe,Left Wing,ireland,2018
Jamison Gibson-Park,Scrum Half,ireland,2018
Jimmy O'Brien,Centre,ireland,2018
Joey Carbery,Fly half,ireland,2018
Johnny Sexton,Fly Half,ireland,2018
Jordan Larmour,Wing,ireland,2018
Keith Earls,Wing,ireland,2018
Michael Lowry,Fullback,ireland,2018
Robbie Henshaw,Centre,ireland,2018
Robert Baloucoune,Wing,ireland,2018
Simon Westraadt,,ireland,2018
Stuart McCloskey,Centre,ireland,2018
Allan Dell,Prop,scotland,2018
Andy Christie,Flanker 6,scotland,2018
David Cherry,Hooker,scotland,2018
Ewan Ashman,Hooker,scotland,2018
Fraser Brown,Hooker,scotland,2018
George Turner,Hooker,scotland,2018
Glen Young,Lock,scotland,2018
Grant Gilchrist,Lock,scotland,2018
Hamish Watson,Flanker 7,scotland,2018
Jack Dempsey,Flanker 6,scotland,2018
Jamie Bhattie,Prop,scotland,2018
Jamie Hodgson,Lock,scotland,2018
Jamie Ritchie,Openside Flanker,scotland,2018
Javan Sebastian,Prop,scotland,2018
Jonny Gray,Lock,scotland,2018
Josh Bayliss,Blindside Flanker,scotland,2018
Luke Crosbie,Flanker 6,scotland,2018
Magnus Bradbury,Blindside Flanker,scotland,2018
Matt Fagerson,Flanker 7,scotland,2018
Nick Haining,Number 8,scotland,2018
Pierre Schoeman,Prop,scotland,2018
Rory Darge,Flanker 7,scotland,2018
Rory Sutherland,Prop,scotland,2018
Sam Skinner,Lock 4,scotland,2018
Scott Cummings,Lock,scotland,2018
Stuart McInally,Hooker,scotland,2018
WP Nel,Prop,scotland,2018
Zander Fagerson,Prop,scotland,2018
Adam Hastings,Fly Half,scotland,2018
Ali Price,Scrum half,scotland,2018
Ben Vellacott,Scrum half,scotland,2018
Ben White,Scrum half,scotland,2018
Blair Kinghorn,Fullback,scotland,2018
Cameron Redpath,Centre,scotland,2018
Chris Harris,Centre,scotland,2018
Darcy Graham,Wing,scotland,2018
Duhan van der Merwe,Wing,scotland,2018
Finn Russell,Fly half,scotland,2018
George Horne,Scrum half,scotland,2018
Kyle Rowe,Fullback,scotland,2018
Kyle Steyn,Wing,scotland,2018
Mark Bennett,Centre,scotland,2018
Ollie Smith,Fullback,scotland,2018
Rory Hutchinson,Centre,scotland,2018
Ross Thompson,Fullback,scotland,2018
Rufus McLean,,scotland,2018
Sam Johnson,Centre,scotland,2018
Sione Tuipulotu,Centre 12,scotland,2018
Stuart Hogg,Fullback,scotland,2018
Ben Betts,Prop,tonga,2018
Ben Tameifuna,Prop,tonga,2018
Dan Tuohy,Lock,tonga,2018
Daniel Faleafa,Flanker 6,tonga,2018
David Lolohea,Tight head prop,tonga,2018
Don Lolo,Lock 4,tonga,2018
Duke Nginingini,Prop,tonga,2018
Fotu Lokotui,Flanker 7,tonga,2018
Ian Evans,Lock,tonga,2018
Jay Fonokalafi,Loosehead Prop,tonga,2018
Jeremy Thrush,Lock,tonga,2018
Jethro Felemi,Prop,tonga,2018
Leva Fifita,Lock,tonga,2018
Loni Uhila,Prop,tonga,2018
Lopeti Timani,Lock,tonga,2018
Lua Li,Prop,tonga,2018
Ma'afu Fia,Prop,tonga,2018
Maama Vaipulu,Number 8,tonga,2018
Mateaki Kafatolu,Flanker 6,tonga,2018
Nasi Manu,Number 8,tonga,2018
Nicola Cattina,Lock,tonga,2018
Onehunga Havili,Flanker 7,tonga,2018
Paula Ngauamo,Hooker,tonga,2018
Sam Dickinson,Number 8,tonga,2018
Samiuela Moli,Hooker,tonga,2018
Shaun Knight,Prop,tonga,2018
Siegfried Fisiihoi,Prop,tonga,2018
Sila Puafisi,Prop,tonga,2018
Sione Tuipolotu,Lock 4,tonga,2018
Sione Vailanu,Number 8,tonga,2018
Siua Maile,Hooker,tonga,2018
Solomone Funaki,Blindside Flanker,tonga,2018
Tanginoa Halaifonua,Lock,tonga,2018
Tom Johnson,Flanker 6,tonga,2018
Toma Taufa,Prop,tonga,2018
Valentino Mapapalangi,Flanker 6,tonga,2018
Wandile Putuma,Lock,tonga,2018
Zane Kapeli,Flanker 7,tonga,2018
Afeafe Haisila-Lokotui,Centre,tonga,2018
Afusipa Taumoepeau,Wing,tonga,2018
Aisea Halo,Scrum Half,tonga,2018
Atunaisa Manu,Right wing,tonga,2018
Cecil Afrika,Fly half,tonga,2018
Fine Inisi,Centre 13,tonga,2018
Hosea Saumaki,Wing,tonga,2018
JC Roos,Centre,tonga,2018
JacopoTrulla,,tonga,2018
James Faiva,Fly half,tonga,2018
John Tapueluelu,Fullback,tonga,2018
Kali Hala,Fly half,tonga,2018
Kurt Morath,Fly half,tonga,2018
Leon Fukofuka,Scrum half,tonga,2018
Luatangi Li,,canada,2018
Maile Ngauamo,,tonga,2018
Mali Hingano,Centre,tonga,2018
Malietoa Hingano,,tonga,2018
Nafi Tu'itavake,Right Wing,tonga,2018
Nikolai Foliaki,Centre,tonga,2018
Oliver Zono,Fly half,tonga,2018
Penikolo Latu,Wing,tonga,2018
Robbie Fruean,Centre,tonga,2018
Sam Vaka,Centre,tonga,2018
Setefano Funaki,,tonga,2018
Solomone Kata,,tonga,2018
Sonatane Takulua,Scrum half,tonga,2018
Tau Koloamatangi,Fullback,tonga,2018
Telusa Veainu,Wing,tonga,2018
Vaea Tutuila Vaea,Inside centre,tonga,2018
Viliami Fine,Fullback,tonga,2018
Viliami Taulani,Fly Half,tonga,2018
Walter Fifita,,tonga,2018
Adrian Motoc,Lock,romania,2018
Alex Gordas,Prop,romania,2018
Alexandru Savin,Prop,romania,2018
Alexandru Tarus,Prop,romania,2018
Constantin Pristavita,Prop,romania,2018
Costel Burtila,Tighthead Prop,romania,2018
Cristian Chirica,Number 8,romania,2018
Dragos Ser,Openside Flanker,romania,2018
Florin Bardasu,Hooker,romania,2018
Marius Antonescu,Lock,romania,2018
Marius Iftimiciuc,Lock,romania,2018
Mihai Macovei,Flanker 7,romania,2018
Ovidiu Cojocaru,Hooker,romania,2018
Alexandru Bucur,Wing,romania,2018
Andrei Gorin,,romania,2018
Balan Vasile,Fly Half,romania,2018
Daniel Plai,Fly half,romania,2018
Florian Rosu,Fullback,romania,2018
Florin Surugiu,Scrum half,romania,2018
Gabriel Rupanu,Centre 13,romania,2018
Hinckley Vovasa,Outside centre,romania,2018
Ionel Melinte,Fullback,romania,2018
Ionut Dumitru,Wing,romania,2018
Jason Tomane,Inside centre,romania,2018
Marius Simionescu,Fullback,romania,2018
Nicolas Onutu,Left Wing,romania,2018
Popa Vlad,Left Wing,romania,2018
Tudor Boldor,Wing,romania,2018
Tudor Butnariu,Fullback,romania,2018
Aaron Wainwright,Flanker 7,wales,2018
Adam Beard,Lock,wales,2018
Alun Wyn Jones,Lock,wales,2018
Ben Carter,Lock 4,wales,2018
Bradley Roberts,Hooker,wales,2018
Christ Tshiunza ,Lock,wales,2018
Dan Lydiate,Flanker 6,wales,2018
Dewi Lake,Hooker,wales,2018
Dillon Lewis,Prop,wales,2018
Ellis Jenkins,Openside Flanker,wales,2018
Gareth Thomas,Loosehead Prop,wales,2018
Jac Morgan,Flanker 7,wales,2018
James Ratti,Lock,wales,2018
Josh Navidi,Flanker 7,wales,2018
Leon Brown,Prop,wales,2018
Rhys Carre,Loosehead Prop,wales,2018
Ross Moriarty,Number 8,wales,2018
Ryan Elias,Hooker,wales,2018
Seb Davies,Lock,wales,2018
Taine Basham,Flanker 7,wales,2018
Taulupe Faletau,Flanker 7,wales,2018
Tomas Francis,Tighthead Prop,wales,2018
Tommy Reffell,Flanker 7,wales,2018
Will Rowlands,Lock,wales,2018
Wyn Jones,Prop,wales,2018
Alex Cuthbert,Wing,wales,2018
Callum Sheedy,Fly half,wales,2018
Dan Biggar,Fly half,wales,2018
Gareth Anscombe,Fly half,wales,2018
Gareth Davies,Scrum half,wales,2018
George North,Left Wing,wales,2018
Johnny McNicholl,Fullback,wales,2018
Jonathan Davies,Centre 13,wales,2018
Josh Adams,Wing,wales,2018
Kieran Hardy,Scrum half,wales,2018
Liam Williams,Wing,wales,2018
Louis Rees-Zammit,Wing,wales,2018
Nick Tompkins,Centre,wales,2018
Owen Watkin,Centre,wales,2018
Rhys Priestland,Fly half,wales,2018
Sam Wainwright,,wales,2018
Tomos Williams,Scrum half,wales,2018
Allan Alaalatoa,Prop,australia,2018
Darcy Swain,Lock,australia,2018
David Porecki,Hooker,australia,2018
Folau Fainga'a,Hooker,australia,2018
Fraser McReight,Flanker 7,australia,2018
Harry Wilson,Lock,australia,2018
James Slipper,Prop,australia,2018
Jed Holloway,Number 8,australia,2018
Matt Gibbon,Prop,australia,2018
Matt Philip,Lock,australia,2018
Michael Hooper,Openside Flanker,australia,2018
Ned Hanigan,Lock,australia,2018
Peter Samu,Flanker 7,australia,2018
Pone Fa'amausili,Prop,australia,2018
Rob Valetini,Flanker 6,australia,2018
Robert Leota,Flanker 7,australia,2018
Rory Arnold,Lock,australia,2018
Scott Sio,Prop,australia,2018
Taniela Tupou,Prop,australia,2018
Andrew Kellaway,Fullback,australia,2018
Angus Bell,,australia,2018
Bernard Foley,Fly half,australia,2018
Cadeyrn Neville,,australia,2018
Hunter Paisami,Centre,australia,2018
Irae Simone,Centre,australia,2018
Izaia Perese,Wing,australia,2018
Jake Gordon,Scrum half,australia,2018
James O'Connor,Fullback,australia,2018
Jock Campbell,Wing,australia,2018
Jordan Petaia,Wing,australia,2018
Lachlan Lonergan,,australia,2018
Lalakai Foketi,Centre,australia,2018
Len Ikitau,Centre,australia,2018
Marika Koroibete,Wing,australia,2018
Nic White,Scrum half,australia,2018
Nick Frost,,australia,2018
Noah Lolesio,,australia,2018
Quade Cooper,Fly half,australia,2018
Reece Hodge,Fullback,australia,2018
Samu Kerevi,Centre,australia,2018
Suliasi Vunivalu,Right Wing,australia,2018
Tate McDermott,Scrum half,australia,2018
Thomas Banks,Fullback,australia,2018
Tom Wright,Centre,australia,2018
Albert Tuisue,Lock,fiji,2018
Alex Rogers,Prop,fiji,2018
Api Ratuniyarawa,Lock,fiji,2018
Donncha O'Callaghan,Lock,fiji,2018
Eroni Mawi,Prop,fiji,2018
Jacob Rowan,Flanker 7,fiji,2018
Johnny Dyer,Blindside Flanker,fiji,2018
Julian Salvi,Flanker 7,fiji,2018
Kitione Kamikamica,Lock,fiji,2018
Leone Nakarawa,Lock,fiji,2018
Mesulame Dolokoto,Hooker,fiji,2018
Paul Doran-Jones,Prop,fiji,2018
Peceli Yato,Number 8,fiji,2018
Peni Ravai,Prop,fiji,2018
Samuel Matavesi,Hooker,fiji,2018
Scott Lawson,Hooker,fiji,2018
Temo Mayanavanua,Lock,fiji,2018
Tevita Ratuva,Flanker 6,fiji,2018
Thomas Waldrom,Number 8,fiji,2018
Viliame Mata,Number 8,fiji,2018
Aminiasi Tuimaba,Fullback,fiji,2018
Apisai Naqalevu,Centre,fiji,2018
Ben Volavola,Fly half,fiji,2018
Eneriko Buliruarua,Wing,fiji,2018
Eroni Sau,Wing,fiji,2018
Frank Lomani,Scrum half,fiji,2018
Haereiti Hetet,,fiji,2018
Josua Tuisova,Wing,fiji,2018
Kini Murimurivalu,Fullback,fiji,2018
Lee-Roy Atalifo,,fiji,2018
Levani Botia,Centre,fiji,2018
