,position,team,year
Emiliano Boffelli,Wing,argentina,2018
Felipe Ezcurra,Centre,argentina,2018
Gonzalo Bertranou,Scrum half,argentina,2018
Ignacio Ruiz,,argentina,2018
Jeronimo De La Fuente,Centre,argentina,2018
Joel Sclavi,,argentina,2018
Juan Cruz Mallia,Centre,argentina,2018
Juan Imhoff,Wing,argentina,2018
Juan Martin Gonzalez,,argentina,2018
Lautaro Bazan Velez,Scrum half,argentina,2018
Lucio Cinti,,argentina,2018
Matias Moroni,Centre,argentina,2018
Matias Orlando,Centre,argentina,2018
Nicolas Sanchez,Fly half,argentina,2018
Pedro Rubiolo,Fullback,argentina,2018
Santiago Carreras,Centre,argentina,2018
Santiago Cordero,Wing,argentina,2018
Santiago Grondona,,argentina,2018
Tomas Albornoz,,argentina,2018
Tomas Cubelli,Scrum half,argentina,2018
Abraham Papali'i,Number 8,samoa,2018
Aki Seiuli,Prop,samoa,2018
Alamanda Motuga,Openside Flanker,samoa,2018
Ally Hogg,Number 8,samoa,2018
Ben Nee Nee,Lock,samoa,2018
Filo Paulo,Lock,samoa,2018
Henry Stowers,Number 8,samoa,2018
JP Sauni,Blindside Flanker,samoa,2018
Jack Lam,Openside Flanker,samoa,2018
Joe Tekori,Lock,samoa,2018
John Ulugia,Hooker,samoa,2018
Jonah Aoina,Prop,samoa,2018
Kalolo Tuiloma,Prop,samoa,2018
Masalosalo Tutaia,Lock,samoa,2018
Michael Alaalatoa,Prop,samoa,2018
Michael Paterson,Lock,samoa,2018
Mikaele Tapili,Blindside flanker,samoa,2018
Naama Leleimalefaga,Prop,samoa,2018
Olajuwon Noa,Openside Flanker,samoa,2018
Paul Alo-Emile,Prop,samoa,2018
Ray Niuia,Hooker,samoa,2018
Sakaria Taulafo,Prop,samoa,2018
Sam Slade,Lock 5,samoa,2018
Seilala Lam,Hooker,samoa,2018
Senio Toleafoa,Lock,samoa,2018
TJ Ioane,Number 8,samoa,2018
Talalelei Gray,Number 8,samoa,2018
Theodore McFarland,Lock 4,samoa,2018
AJ Alatimu,Fullback,samoa,2018
Ahsee Tuala,Fullback,samoa,2018
Albert Onelei,Fullback,samoa,2018
Alex Luatua,Fullback,samoa,2018
Auvasa Falealii,Scrum Half,samoa,2018
Aviata Silago,Fullback,samoa,2018
D'Angelo Leuila,Fly Half,samoa,2018
Dwayne Polataivao,Scrum Half,samoa,2018
Ed Fidow,Wing,samoa,2018
Elijah Niko,Right wing,samoa,2018
Elisapeta Alofipo,Centre 12,samoa,2018
George Pisi,Centre,samoa,2018
Henry Taefu,Centre 12,samoa,2018
Jamie-Jerry Taulagi,Fullback,samoa,2018
Joe Perez,Right Wing,samoa,2018
John Vaili,Centre 13,samoa,2018
Jonathan Taumateine,Scrum Half,samoa,2018
Losi Filipo,Wing,samoa,2018
Mike Ellery,Wing,samoa,2018
Neria Fomai,Left Wing,samoa,2018
Nigel Hunt,Centre,samoa,2018
Opetera Peleseuma,Outside centre,samoa,2018
Reece Anapu,Fullback,samoa,2018
Rodney Yona,Centre 12,samoa,2018
Sinoti Sinoti,Wing,samoa,2018
Stacey Ili,Wing,samoa,2018
Taiso Silafai-Leaana,Centre,samoa,2018
Tam Uli Salelologa,Right Wing,samoa,2018
Tietie Tuimaga,,samoa,2018
Tom Heathcote,Fly half,samoa,2018
Tomasi Alosio,Fullback,samoa,2018
Winston Stanley,Centre,samoa,2018
 Jean Sousa,Lock 5,portugal,2018
Diogo Ferreira,Prop,portugal,2018
Duarte Diniz,Openside Flanker,portugal,2018
Duarte Torgal,Lock 4,portugal,2018
Francisco Fernades Moreira,Loose head prop,portugal,2018
Geoffrey Moise,Prop,portugal,2018
Joao Granate,Blindside Flanker,portugal,2018
Jose Madeira,Openside Flanker,portugal,2018
Lionel Campergue,Hooker,portugal,2018
Rafael Simoes,Lock 4,portugal,2018
Steevy Cerqueira,Lock,portugal,2018
Cody Thomas,Fullback,portugal,2018
David Wallis,Fullback,portugal,2018
James Verity-Amm,Wing,portugal,2018
Jeromino Portela,Fly Half,portugal,2018
Joao Mateus,Fullback,portugal,2018
Jorge Abecasis,Fly Half,portugal,2018
Jose Lima,Centre,portugal,2018
Manuel Cardoso Pinto,Fullback,portugal,2018
Pedro Bettencourt,Centre,portugal,2018
Pedro Lucas,Fullback,portugal,2018
Samuel Marques,Scrum half,portugal,2018
Simao Bento ,Fullback,portugal,2018
Thibault De Freitas,Fullback,portugal,2018
Tomas Appleton,Centre 12,portugal,2018
Vincent Pinto,Centre,portugal,2018
Andrew Quattrin,Hooker,canada,2018
Cole Keith,Prop,canada,2018
Conor Keys,Lock,canada,2018
Djustice Sears-Duru,Prop,canada,2018
Eric Howard,Hooker,canada,2018
Jake Ilnicki,Prop,canada,2018
Josh Larsen,Lock,canada,2018
Lucas Albornoz,Lock,canada,2018
Lucas Rumball,Flanker 6,canada,2018
Marc-Antoine Rallier,Hooker,canada,2018
ReeganO'Gorman,Blindside flanker,canada,2018
Siaki Vikilani,Number 8,canada,2018
Stephan Malan,Number 8,canada,2018
Ben LeSage,Centre,canada,2018
Cole Davis,Wing,canada,2018
Corey Thomas,,canada,2018
Donald Carson,Fullback,canada,2018
Ernst Stapelberg,Fly half,canada,2018
Gavin Mullin,Centre,canada,2018
JW Jonker,Centre,canada,2018
Kainoa Lloyd,Wing,canada,2018
LachlanKratz,Inside centre,canada,2018
LiamMurray,Fullback,canada,2018
Michael Smith,Fullback,canada,2018
Peter Nelson,Fly half,canada,2018
QuinnNgawati,Inside centre,canada,2018
Robert Povey,Fullback,canada,2018
Ross Braude,Scrum half,canada,2018
TylerRowland,Fullback,canada,2018
Billy Harmon,Openside Flanker,maori-all-blacks,2018
Caleb Delaney,Lock 5,maori-all-blacks,2018
Cameron Suafoa,Blindside Flanker,maori-all-blacks,2018
Cullen Grace,Lock 5,maori-all-blacks,2018
Isaia Walker-Leawere,Lock,maori-all-blacks,2018
Jermaine Ainsley,Prop,maori-all-blacks,2018
Josh Dickson,Lock,maori-all-blacks,2018
Kurt Eklund,Hooker,maori-all-blacks,2018
Leni Apisai,Hooker,maori-all-blacks,2018
Manaaki Selby-Rickit,Lock 5,maori-all-blacks,2018
Marcel Renata,Prop,maori-all-blacks,2018
Max Hicks,Blindside Flanker,maori-all-blacks,2018
Ollie Norris,Prop,maori-all-blacks,2018
Reed Prinsep,Blindside Flanker,maori-all-blacks,2018
TK Howden,Blindside Flanker,maori-all-blacks,2018
Tamaiti Williams,Tighthead Prop,maori-all-blacks,2018
Alex Nankivell,Centre,maori-all-blacks,2018
Bailyn Sullivan,Centre,maori-all-blacks,2018
Billy Proctor,Centre,maori-all-blacks,2018
Brad Weber,Scrum half,maori-all-blacks,2018
Connor Garden-Bachop,Fullback,maori-all-blacks,2018
Josh Ioane,Fly half,maori-all-blacks,2018
Josh Moorby,Fullback,maori-all-blacks,2018
Rameka Poihipi,Centre,maori-all-blacks,2018
Ruben Love,,maori-all-blacks,2018
Shaun Stevenson,Fullback,maori-all-blacks,2018
TJ Perenara,Scrum half,maori-all-blacks,2018
Tyrone Thompson,,maori-all-blacks,2018
Zarn Sullivan,Fullback,maori-all-blacks,2018
Andrew Darlington,Tighthead Prop,netherlands,2018
Christopher Van Leeuwen,Blindside Flanker,netherlands,2018
Dave Koelman,Number 8,netherlands,2018
Dennis Van Dijken,Lock 4,netherlands,2018
Dirk Danen,Blindside flanker,netherlands,2018
Hugo Langelaan,Loosehead Prop,netherlands,2018
Liam Stone,Openside flanker,netherlands,2018
Lodi Buijs,Tighthead Prop,netherlands,2018
Louis Bruinsma,Lock 5,netherlands,2018
Mark Darlington, Hooker,netherlands,2018
Mike Mbaud, Hooker,netherlands,2018
Robin Moenen,Loosehead Prop,netherlands,2018
Ross Bennie-Coulson, Hooker,netherlands,2018
Wolf Van Dijk,Openside Flanker,netherlands,2018
 Christopher Raymond,Fullback,netherlands,2018
Bart Wierenga,Centre 13,netherlands,2018
Caleb Korteweg,Fullback,netherlands,2018
Daan Van Der Avoird,Left Wing,netherlands,2018
David Weersma,Centre 12,netherlands,2018
Hugo Scholler,Fullback,netherlands,2018
Jade Plane,Fullback,netherlands,2018
Jim Boelrijk,Fullback,netherlands,2018
Jordy Hop,Left Wing,netherlands,2018
Jules Godefroy,Fullback,netherlands,2018
Mark Coebergh,Scrum half,netherlands,2018
Mees Van Oord,Fly Half,netherlands,2018
Oliva Sialau,Inside centre,netherlands,2018
Spike Salman,Fullback,netherlands,2018
Storm Carroll,Fullback,netherlands,2018
Te Campbell,Fullback,netherlands,2018
 Viktor Arkhip,Number 8,russia,2018
Artemy Gallo,Blindside flanker,russia,2018
Azamat Bitiev,Prop,russia,2018
Evgeny Mishechkin,Prop,russia,2018
German Silenko,Lock 4,russia,2018
Kirill Gotovtsev,Prop,russia,2018
Maksim Gargalyk,Lock 5,russia,2018
Nikita Vavilin,Number 8,russia,2018
Nikolai Kazalikashvili,Loose head prop,russia,2018
Victor Gresev,Number 8,russia,2018
Vitaly Zhivatov,Flanker 6,russia,2018
Vladimir Podrezov,Prop,russia,2018
Alexei Scherban,Scrum half,russia,2018
Andrei Karzanov,Left Wing,russia,2018
Anton Makarenko,Fullback,russia,2018
Daniil Semenov,Fullback,russia,2018
Danil Potikhanov,Wing,russia,2018
Dmitrii Gerasimov,,russia,2018
Dmitry Parkhomenko,Fullback,russia,2018
Dmitry Sukhin,Fullback,russia,2018
Efim Riabischuk,,russia,2018
German Davydov,Wing,russia,2018
JorisSegonds,,russia,2018
Nikoloz Narmania,Fullback,russia,2018
Ramil Gaisin,Fly half,russia,2018
Shamil Magomedov,,russia,2018
Vasily Artemyev,Fullback,russia,2018
Viktor Kononov,Wing,russia,2018
Vladimir Geraskin,Fullback,russia,2018
Carl Rimmer,Prop,south-africa-a,2018
Coenie Oosthuizen,Tighthead Prop,south-africa-a,2018
Franco Mostert,Lock,south-africa-a,2018
Jean-Luc du Preez,Number 8,south-africa-a,2018
Marco van Staden,Blindside Flanker,south-africa-a,2018
Nicolaas Janse van Rensburg,Lock 4,south-africa-a,2018
Wilco Louw,Prop,south-africa-a,2018
Morne Steyn,Fly Half,south-africa-a,2018
Peni Tagive,Wing,south-africa-a,2018
Rosko Speckman,Left Wing,south-africa-a,2018
Sanele Nohamba,,south-africa-a,2018
Sibusiso Nkosi,Wing,south-africa-a,2018
Wandisile Simelane,Centre 13,south-africa-a,2018
Yaw Penxe,Left Wing,south-africa-a,2018
Afa Tauli,Number 8,spain,2018
Anibal Bonan,Lock 4,spain,2018
Asier Usarraga,Blindside flanker,spain,2018
Fabien Perrin, Hooker,spain,2018
Fernando Lopez,Loosehead Prop,spain,2018
Fred Quercy,Number 8,spain,2018
Gautier Gibouin,Blindside Flanker,spain,2018
Jon Zabala Arrieta,Prop,spain,2018
Manuel Mora,Lock 5,spain,2018
Marco Pinto Ferrer, Hooker,spain,2018
Michael Walker-Fitton,Blindside flanker,spain,2018
Thierry Futeu, Hooker,spain,2018
Victor Sanchez,Lock 4,spain,2018
 Gavin Van Den Berg,Fullback,spain,2018
Alvar Gimeno,Centre 12,spain,2018
Bautista Guemes,Fly Half,spain,2018
Charly Malie,Fullback,spain,2018
Facundo Nahuel Dominguez,Fullback,spain,2018
Gauthier Minguillon,Left wing,spain,2018
Guillaume Rouet,Scrum half,spain,2018
Inaki Mateu,Fullback,spain,2018
Joel Merkler,Fullback,spain,2018
Jordi Jorba,Left Wing,spain,2018
Julien Goia,Left wing,spain,2018
Lucas Guillaume,Right Wing,spain,2018
Manuel Ordas,,spain,2018
Mathieu Belie,Fullback,spain,2018
Matthew Foulds,Right Wing,spain,2018
Micheal Hogg,Fullback,spain,2018
Santiago Ovejero,Fullback,spain,2018
Tomas Munilla,Fullback,spain,2018
Andrew Guerra,Fullback,usa,2018
Antonin Berruyer,Flanker 6,usa,2018
Ben Bonasso,Blindside flanker,usa,2018
Ben Nutley,Number 8,usa,2018
Cameron Dolan,Number 8,usa,2018
Chad Gough, Hooker,usa,2018
David Ainu'u,Prop,usa,2018
Dino Waldren,Prop,usa,2018
Dylan Fawsitt,Hooker,usa,2018
Greg Peterson,Lock,usa,2018
Hanco Germishuys,Flanker 7,usa,2018
Jamason Fa'anana Shultz,Lock,usa,2018
Joe Taufete'e,Hooker,usa,2018
Matt Harmon,Loosehead Prop,usa,2018
Mike Sosene Feagai,Hooker,usa,2018
Nate Brakeley,Lock,usa,2018
Nick Civetta,Lock,usa,2018
Paul Mullen,Prop,usa,2018
Psalm Wooching,Flanker 6,usa,2018
Riekert Hattingh,Openside flanker,usa,2018
Rob Hawkins,Hooker,usa,2018
Bryce Campbell,Centre,usa,2018
Calvin Whiting,Centre 12,usa,2018
Christian Dyer,Fullback,usa,2018
Faka'osi Pifeleti,Fullback,usa,2018
Kapeli Pifeleti,,usa,2018
Marcel Brache,Wing,usa,2018
Michael Baska,Scrum Half,usa,2018
Michael Dowsett,Scrum half,usa,2018
Mika Kruse,Right Wing,usa,2018
Mike Dabulas,Fullback,usa,2018
Mike Te'o,Wing,usa,2018
Nate Augspurger,Scrum half,usa,2018
Ross Adair,Wing,usa,2018
Ruben De Haas,Scrum half,usa,2018
Ryan James,Left Wing,usa,2018
Ryan Matyas,Wing,usa,2018
Siaosi Mahoni,Fullback,usa,2018
Tavita Lopeti,Outside centre,usa,2018
Tesimoni Tongauiha,Fullback,usa,2018
Will Hooley,Fullback,usa,2018
Will Magie,Fly half,usa,2018
