,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Bakary Meite,Flanker 7,bath,2021,,,,,,,,,,,,,,,,,,
Beno Obano,Prop,bath,2021, 5 , 1 , 130 , 60 , 0 , 0 , 29 , 4 , 0 , 0 , 0 , 71 , 4 , 1 , 5 , 17 , 0 , 0 
Charlie Ewels,Lock,bath,2021, 0 , 0 , 84 , 62 , 2 , 0 , 31 , 5 , 0 , 0 , 0 , 110 , 14 , 5 , 13 , 10 , 2 , 1 
D'arcy Rae,Prop,bath,2021, 0 , 0 , 24 , 18 , 1 , 0 , 7 , 2 , 0 , 0 , 0 , 32 , 5 , 0 , 1 , 9 , 0 , 0 
Jaco Coetzee,Number 8,bath,2021, 0 , 0 , 20 , 13 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 5 , 0 , 1 , 1 , 1 , 0 , 0 
Jacques Du Toit,Hooker,bath,2021, 10 , 2 , 64 , 42 , 1 , 0 , 21 , 1 , 0 , 0 , 0 , 59 , 10 , 1 , 12 , 3 , 0 , 0 
Johan Smith,Prop,bath,2021,,,,,,,,,,,,,,,,,,
Johannes Jonker,Prop,bath,2021, 0 , 0 , 9 , 7 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 4 , 1 , 0 , 0 , 4 , 0 , 0 
Josh Bayliss,Blindside Flanker,bath,2021, 10 , 2 , 176 , 75 , 10 , 2 , 19 , 5 , 0 , 0 , 0 , 95 , 10 , 7 , 7 , 6 , 1 , 0 
Josh McNally ,Lock 4,bath,2021, 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 
Joshua McNally,Flanker 6,bath,2021, 10 , 2 , 83 , 48 , 3 , 1 , 20 , 3 , 0 , 0 , 0 , 90 , 8 , 7 , 8 , 10 , 0 , 0 
Juan Schoeman,Prop,bath,2021, 5 , 1 , 34 , 20 , 0 , 0 , 9 , 1 , 0 , 0 , 0 , 42 , 1 , 2 , 0 , 5 , 0 , 0 
Lewis Boyce,Prop,bath,2021, 5 , 1 , 55 , 30 , 1 , 1 , 8 , 1 , 0 , 0 , 0 , 40 , 2 , 1 , 6 , 14 , 1 , 0 
Ma'afu Fia,Prop,bath,2021,,,,,,,,,,,,,,,,,,
Matheus Daniel,Flanker 6,bath,2021,,,,,,,,,,,,,,,,,,
Mike Williams,Lock,bath,2021, 0 , 0 , 47 , 35 , 1 , 0 , 5 , 2 , 0 , 0 , 0 , 43 , 7 , 2 , 2 , 9 , 0 , 1 
Miles Reid,Number 8,bath,2021, 5 , 1 , 103 , 55 , 4 , 1 , 31 , 2 , 0 , 0 , 0 , 117 , 8 , 5 , 9 , 11 , 1 , 0 
Nahum Merigan,Number 8,bath,2021, 0 , 0 , 20 , 15 , 4 , 0 , 5 , 0 , 0 , 0 , 0 , 11 , 1 , 0 , 2 , 1 , 0 , 0 
Nathan Hughes,Number 8,bristol,2021, 5 , 1 , 119 , 50 , 3 , 0 , 20 , 6 , 0 , 0 , 0 , 30 , 2 , 1 , 7 , 7 , 0 , 0 
Sam Underhill,Flanker 7,bath,2021, 30 , 6 , 225 , 67 , 8 , 4 , 42 , 10 , 0 , 0 , 0 , 130 , 17 , 6 , 5 , 8 , 0 , 0 
Taulupe Faletau,Flanker 7,cardiff-blues,2021,,,,,,,,,,,,,,,,,,
Tom Dunn,Hooker,bath,2021, 20 , 4 , 172 , 76 , 1 , 0 , 29 , 5 , 0 , 0 , 0 , 112 , 9 , 1 , 20 , 12 , 0 , 1 
Tom Ellis,Blindside Flanker,bath,2021, 5 , 1 , 67 , 37 , 3 , 0 , 20 , 4 , 0 , 0 , 0 , 73 , 11 , 10 , 6 , 7 , 2 , 0 
Valery Morozov,Prop,bath,2021,,,,,,,,,,,,,,,,,,
Viliame Veikoso,Hooker,bath,2021,,,,,,,,,,,,,,,,,,
Will Spencer,Lock 5,bath,2021, 0 , 0 , 6 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 2 , 1 , 0 , 0 
Will Stuart,Tighthead Prop,bath,2021, 10 , 2 , 87 , 50 , 3 , 0 , 10 , 1 , 1 , 0 , 0 , 62 , 2 , 4 , 4 , 14 , 0 , 0 
