,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Will Vaughan,Prop,bath,2021, 0 , 0 , 2 , 4 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 
Anthony Watson,Wing,lions,2021, 10 , 2 , 182 , 23 , 14 , 3 , 10 , 5 , 3 , 0 , 0 , 8 , 3 , 2 , 8 , 1 , 0 , 0 
Anton Ryabov,Fly half,bath,2021,,,,,,,,,,,,,,,,,,
Arthur Cordwell,Fullback,bath,2021, 0 , 0 , 4 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 1 , 1 , 2 , 1 , 0 , 0 
Ben Spencer,Scrum half,bath,2021, 20 , 2 , 130 , 30 , 11 , 5 , 596 , 8 , 103 , 2 , 2 , 23 , 8 , 3 , 6 , 4 , 0 , 0 
Cameron Redpath,Centre,bath,2021, 10 , 2 , 37 , 12 , 2 , 1 , 3 , 0 , 0 , 0 , 0 , 12 , 2 , 1 , 1 , 3 , 0 , 0 
Carl Meyer,Centre,bath,2021,,,,,,,,,,,,,,,,,,
Danny Cipriani,Fly half,bath,2021, 25 , 0 , 13 , 6 , 2 , 1 , 64 , 1 , 17 , 5 , 5 , 24 , 10 , 1 , 3 , 2 , 0 , 0 
Ewan Richards,Fullback,bath,2021, 0 , 0 , 19 , 15 , 0 , 1 , 7 , 2 , 0 , 0 , 0 , 18 , 5 , 2 , 0 , 1 , 0 , 0 
Frankie Read,Fullback,bath,2021,,,,,,,,,,,,,,,,,,
Gabriel Hamer-Webb,Wing,bath,2021, 5 , 1 , 10 , 3 , 1 , 1 , 3 , 0 , 1 , 0 , 0 , 5 , 3 , 0 , 1 , 0 , 0 , 0 
Harry Casson,Fullback,bath,2021,,,,,,,,,,,,,,,,,,
Jeremy Russell,Fly half,bath,2021,,,,,,,,,,,,,,,,,,
Joe Cokanasiga,Wing,bath,2021, 0 , 0 , 90 , 26 , 10 , 4 , 19 , 6 , 2 , 0 , 0 , 28 , 10 , 0 , 7 , 4 , 0 , 0 
Joe Simpson,Scrum half,saracens,2021, 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 
Jonathan Joseph,Centre,bath,2021, 0 , 0 , 186 , 55 , 16 , 3 , 66 , 7 , 16 , 0 , 0 , 75 , 9 , 1 , 7 , 3 , 0 , 0 
Josh Dingley,Fullback,bath,2021,,,,,,,,,,,,,,,,,,
Kieran Verden,,bath,2021, 0 , 0 , 2 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 2 , 1 , 0 
Lucas Muller,Wing,bath,2021,,,,,,,,,,,,,,,,,,
Max Clark,Centre,bath,2021, 5 , 1 , 103 , 42 , 5 , 2 , 30 , 9 , 1 , 0 , 0 , 48 , 6 , 2 , 4 , 0 , 0 , 0 
Max Green,Scrum half,bath,2021, 0 , 0 , 3 , 3 , 0 , 0 , 32 , 1 , 7 , 0 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 0 
Max Ojomoh,,bath,2021, 5 , 1 , 186 , 67 , 11 , 2 , 91 , 13 , 15 , 0 , 0 , 45 , 17 , 2 , 12 , 5 , 0 , 0 
Ollie Fox,Scrum half,bath,2021, 5 , 1 , 57 , 19 , 2 , 3 , 362 , 4 , 52 , 0 , 0 , 25 , 7 , 0 , 6 , 2 , 1 , 0 
Orlando Bailey,Fly Half,bath,2021, 70 , 0 , 117 , 51 , 11 , 1 , 101 , 6 , 39 , 11 , 16 , 63 , 11 , 1 , 12 , 2 , 0 , 0 
Richard De Carpentier,Fullback,bath,2021, 0 , 0 , 81 , 45 , 3 , 1 , 9 , 3 , 2 , 0 , 0 , 46 , 6 , 2 , 10 , 6 , 1 , 0 
Robert Tenorio,Scrum half,bath,2021,,,,,,,,,,,,,,,,,,
Ruaridh McConnochie,Wing,bath,2021, 5 , 1 , 241 , 37 , 15 , 5 , 12 , 5 , 2 , 0 , 0 , 28 , 5 , 0 , 7 , 0 , 0 , 0 
Semesa Rokoduguni,Right Wing,bath,2021, 10 , 2 , 237 , 72 , 13 , 2 , 18 , 7 , 1 , 0 , 0 , 64 , 7 , 5 , 8 , 5 , 0 , 0 
Tom Cowan,Fullback,bath,2021, 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 1 , 0 , 0 
Tom De Glanville,,bath,2021, 19 , 3 , 561 , 121 , 29 , 12 , 70 , 22 , 28 , 2 , 0 , 33 , 11 , 3 , 15 , 6 , 0 , 0 
Tom Doughty,,bath,2021, 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 0 , 0 , 0 
Tom Prydie,Wing,bath,2021, 0 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 
Will Butt,,bath,2021, 0 , 0 , 28 , 12 , 0 , 0 , 11 , 2 , 0 , 0 , 0 , 19 , 3 , 0 , 0 , 1 , 0 , 0 
Will Muir,Fullback,bath,2021, 27 , 5 , 306 , 73 , 18 , 1 , 30 , 12 , 3 , 1 , 0 , 65 , 10 , 3 , 5 , 9 , 1 , 1 
Zee Mkhabela,Scrum Half,bath,2021,,,,,,,,,,,,,,,,,,
Aidan Ross,Prop,chiefs,2021, 0 , 0 , 62 , 30 , 0 , 1 , 16 , 2 , 0 , 0 , 0 , 60 , 6 , 2 , 3 , 5 , 0 , 0 
Anaru Rangi,Hooker,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Ben Finau,Blindside Flanker,bay-of-plenty,2021, 0 , 0 , 50 , 19 , 1 , 0 , 7 , 0 , 0 , 0 , 0 , 16 , 3 , 0 , 2 , 0 , 0 , 0 
Benet Kumeroa,Loose head prop,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Jacob Norris,Flanker 7,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Jeff Thwaites,Prop,highlanders,2021, 0 , 0 , 8 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 7 , 2 , 1 , 2 , 2 , 0 , 0 
Justin Sangster,Lock 4,hurricanes,2021,,,,,,,,,,,,,,,,,,
Kohan Herbert,Openside flanker,bay-of-plenty,2021, 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 0 
Kurt Eklund,Hooker,bay-of-plenty,2021, 0 , 0 , 0 , 2 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 1 , 2 , 0 , 0 
Manaaki Selby-Rickit,Lock 5,highlanders,2021, 0 , 0 , 18 , 7 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 15 , 1 , 2 , 0 , 2 , 0 , 0 
Naitoa Ah Kuoi,Lock,chiefs,2021, 5 , 1 , 61 , 51 , 1 , 1 , 28 , 4 , 0 , 0 , 0 , 65 , 2 , 3 , 6 , 5 , 0 , 0 
Nic Souchon,Hooker,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Nikora Broughton,Number 8,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Tevita Mafileo,Prop,hurricanes,2021, 0 , 0 , 5 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 17 , 2 , 0 , 0 , 3 , 0 , 0 
Veveni Lasaqa,Blindside flanker,bay-of-plenty,2021, 5 , 1 , 36 , 14 , 0 , 0 , 8 , 3 , 0 , 0 , 0 , 40 , 11 , 6 , 4 , 4 , 0 , 0 
Zane Kapeli,Flanker 7,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Carlos Price,Scrum half,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Emoni Narawa,Fullback,chiefs,2021,,,,,,,,,,,,,,,,,,
Etonia Waqa,Fullback,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Gillies Kaka,Fullback,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Haereiti Hetet,,bay-of-plenty,2021, 0 , 0 , 8 , 5 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 14 , 0 , 1 , 0 , 2 , 0 , 0 
Jamie Dobie,,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Joey Walton,,waratahs,2021, 0 , 0 , 4 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 
Josh Bartlett,Fullback,chiefs,2021,,,,,,,,,,,,,,,,,,
Kaleb Trask,Fullback,chiefs,2021, 23 , 3 , 141 , 50 , 14 , 3 , 122 , 11 , 45 , 4 , 0 , 41 , 12 , 3 , 11 , 0 , 0 , 0 
Kaveinga Finau,Centre 12,crusaders,2021,,,,,,,,,,,,,,,,,,
Lalomilo Lalomilo,Wing,bay-of-plenty,2021, 0 , 0 , 105 , 36 , 2 , 1 , 20 , 7 , 1 , 0 , 0 , 47 , 16 , 4 , 5 , 5 , 0 , 0 
Leroy Carter,,bay-of-plenty,2021, 15 , 3 , 97 , 36 , 7 , 3 , 42 , 5 , 4 , 0 , 0 , 45 , 7 , 3 , 10 , 5 , 1 , 0 
Lucas Cashmore,Fly half,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Luke Donaldson,,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Nigel Ah Wong,Centre 13,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Pasilio Tosi,Fullback,hurricanes,2021,,,,,,,,,,,,,,,,,,
Penikora Finau,Fullback,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Seamus Bardoul,Inside centre,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Sekuni Tanimo,Fullback,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Sonny Collier,Fullback,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Taylor Haugh,Wing,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
Te Toiroa Tahuriorangi,Scrum half,crusaders,2021,,,,,,,,,,,,,,,,,,
Wharenui Hawera,Fly half,bay-of-plenty,2021,,,,,,,,,,,,,,,,,,
AlessandroIzekor,Blindside Flanker,benetton,2021,,,,,,,,,,,,,,,,,,
Braam Steyn,Flanker 7,benetton,2021,,,,,,,,,,,,,,,,,,
Carl Wegner,Lock,benetton,2021, 0 , 0 , 37 , 26 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 24 , 5 , 3 , 4 , 2 , 0 , 0 
Federico Ruzza,Lock,benetton,2021, 5 , 1 , 165 , 93 , 2 , 0 , 38 , 12 , 0 , 0 , 0 , 101 , 6 , 10 , 10 , 11 , 0 , 0 
Federico Zani,Hooker,benetton,2021, 0 , 0 , 33 , 13 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 24 , 1 , 0 , 2 , 5 , 0 , 0 
Giacomo Nicotera,Hooker,benetton,2021, 0 , 0 , 30 , 13 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 13 , 1 , 0 , 4 , 1 , 1 , 0 
Gianmarco Lucchesi,,benetton,2021, 35 , 7 , 127 , 72 , 4 , 2 , 26 , 1 , 0 , 0 , 0 , 83 , 8 , 6 , 14 , 7 , 0 , 0 
Giovanni Pettinelli,Openside Flanker,benetton,2021, 15 , 3 , 152 , 78 , 4 , 2 , 22 , 9 , 0 , 0 , 0 , 84 , 9 , 10 , 10 , 5 , 1 , 0 
Henry Stowers,Number 8,benetton,2021,,,,,,,,,,,,,,,,,,
Ivan Nemer,Loosehead Prop,benetton,2021, 10 , 2 , 73 , 53 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 79 , 6 , 3 , 7 , 8 , 1 , 0 
Manuel Zuliani,Number 8,benetton,2021, 5 , 1 , 90 , 47 , 7 , 1 , 7 , 0 , 0 , 0 , 0 , 86 , 8 , 6 , 9 , 12 , 0 , 0 
Marco Lazzaroni,Lock,benetton,2021, 0 , 0 , 9 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 16 , 0 , 0 , 0 , 1 , 0 , 0 
Michele Lamaro,Openside Flanker,benetton,2021, 20 , 4 , 148 , 72 , 3 , 0 , 32 , 6 , 1 , 0 , 0 , 147 , 24 , 7 , 18 , 5 , 1 , 0 
Nahuel Tetaz Chaparro,Prop,benetton,2021, 0 , 0 , 1 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 9 , 1 , 0 , 0 , 6 , 0 , 0 
Niccolo Cannone,Lock 4,benetton,2021, 10 , 2 , 90 , 68 , 2 , 2 , 12 , 1 , 0 , 0 , 0 , 92 , 6 , 5 , 7 , 10 , 1 , 0 
Scott Scrafton,Lock,hurricanes,2021, 0 , 0 , 35 , 32 , 0 , 0 , 22 , 3 , 0 , 0 , 0 , 61 , 10 , 4 , 4 , 6 , 0 , 0 
Sebastian Negri da Ollegio,Openside Flanker,benetton,2021, 0 , 0 , 145 , 90 , 4 , 0 , 14 , 4 , 0 , 0 , 0 , 61 , 0 , 1 , 5 , 8 , 0 , 0 
Simone Ferrari,Prop,benetton,2021, 0 , 0 , 6 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 2 , 0 , 0 
Tiziano Pasquali,Tight head prop,benetton,2021, 0 , 0 , 23 , 16 , 0 , 0 , 5 , 1 , 0 , 0 , 0 , 47 , 4 , 0 , 1 , 8 , 1 , 0 
Toa Halafihi,Number 8,benetton,2021, 15 , 3 , 166 , 86 , 9 , 2 , 41 , 8 , 1 , 0 , 0 , 93 , 8 , 9 , 6 , 7 , 0 , 0 
Alessandro Garbisi,Fullback,benetton,2021, 0 , 0 , 0 , 0 , 0 , 0 , 31 , 0 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 
Alexander Todua,Wing,benetton,2021, 10 , 2 , 82 , 52 , 5 , 2 , 21 , 6 , 0 , 0 , 0 , 75 , 4 , 1 , 3 , 18 , 1 , 0 
Dewaldt Duvenage,Scrum half,benetton,2021, 10 , 2 , 49 , 21 , 4 , 0 , 688 , 5 , 80 , 0 , 0 , 59 , 9 , 4 , 16 , 5 , 2 , 0 
Edoardo Padovani,Fullback,benetton,2021, 29 , 3 , 91 , 40 , 5 , 2 , 62 , 3 , 27 , 4 , 2 , 38 , 6 , 0 , 13 , 3 , 0 , 0 
Giacomo Da Re,Fullback,benetton,2021,,,,,,,,,,,,,,,,,,
Joaquin Riera,Centre,benetton,2021, 0 , 0 , 75 , 43 , 4 , 2 , 29 , 6 , 9 , 0 , 0 , 38 , 11 , 4 , 8 , 5 , 0 , 0 
Juan Ignacio Brex,Centre 12,benetton,2021, 10 , 2 , 91 , 43 , 1 , 2 , 44 , 6 , 17 , 0 , 0 , 71 , 20 , 2 , 6 , 2 , 0 , 0 
Manfredi Albanese,Fullback,benetton,2021,,,,,,,,,,,,,,,,,,
Manuel Arroyo,Fullback,benetton,2021,,,,,,,,,,,,,,,,,,
Marco Zanon,Centre 12,benetton,2021, 5 , 1 , 152 , 73 , 8 , 2 , 38 , 7 , 7 , 0 , 0 , 77 , 15 , 2 , 5 , 2 , 0 , 0 
Marcus Watson,Wing,benetton,2021,,,,,,,,,,,,,,,,,,
Mattia Bellini,Wing,benetton,2021,,,,,,,,,,,,,,,,,,
Rhyno Smith,Fullback,benetton,2021, 32 , 2 , 76 , 34 , 3 , 0 , 62 , 7 , 31 , 8 , 2 , 23 , 13 , 6 , 10 , 2 , 0 , 0 
Sam Hidalgo-Clyne,Scrum half,exeter-chiefs,2021, 5 , 1 , 34 , 19 , 2 , 0 , 353 , 4 , 33 , 0 , 0 , 24 , 1 , 2 , 11 , 2 , 0 , 0 
Tomas Albornoz,,benetton,2021, 14 , 0 , 84 , 16 , 7 , 1 , 32 , 1 , 17 , 4 , 2 , 18 , 5 , 1 , 2 , 1 , 0 , 0 
Tommaso Menoncello,Left Wing,benetton,2021, 20 , 4 , 70 , 31 , 3 , 1 , 10 , 4 , 1 , 0 , 0 , 51 , 7 , 5 , 10 , 2 , 0 , 0 
Arno Botha,Number 8,blue-bulls,2021, 25 , 5 , 204 , 85 , 11 , 3 , 30 , 13 , 0 , 0 , 0 , 95 , 12 , 5 , 8 , 9 , 2 , 0 
Bismarck Du Plessis, Hooker,bulls,2021, 0 , 0 , 34 , 14 , 0 , 0 , 2 , 1 , 1 , 0 , 0 , 21 , 0 , 4 , 4 , 4 , 0 , 1 
Cameron Hanekom,Openside flanker,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Cyle Brink,Flanker 7,leicester,2021, 10 , 2 , 62 , 32 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 43 , 9 , 1 , 2 , 2 , 1 , 0 
Dylan Smith,Prop,bulls,2021,,,,,,,,,,,,,,,,,,
Elrigh Louw,Number 8,bulls,2021, 20 , 4 , 213 , 98 , 13 , 2 , 23 , 5 , 0 , 0 , 0 , 111 , 7 , 5 , 18 , 7 , 0 , 0 
Eric Basson,Blindside flanker,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Francois Klopper,Prop,bulls,2021,,,,,,,,,,,,,,,,,,
Gigauri Davit,Lock 4,blue-bulls,2021, 0 , 0 , 36 , 13 , 3 , 1 , 5 , 2 , 2 , 0 , 0 , 5 , 3 , 0 , 5 , 1 , 0 , 0 
Jaco Labuschagne,Flanker,blue-bulls,2021, 5 , 1 , 4 , 3 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 4 , 1 , 1 , 0 , 0 , 0 , 0 
Jacques Van Rooyen,Prop,bulls,2021, 0 , 0 , 73 , 41 , 1 , 0 , 7 , 1 , 0 , 0 , 0 , 41 , 12 , 1 , 4 , 8 , 0 , 0 
Johan Grobbelaar,Hooker,bulls,2021, 25 , 5 , 97 , 57 , 6 , 1 , 32 , 9 , 0 , 0 , 0 , 85 , 8 , 10 , 17 , 3 , 0 , 0 
Kowie Roos,Tight head prop,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Lizo Gqoboka,Prop,blue-bulls,2021, 5 , 1 , 35 , 26 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 20 , 1 , 0 , 2 , 9 , 0 , 0 
Marcell Coetzee,Flanker 6,bulls,2021, 20 , 4 , 196 , 93 , 4 , 1 , 37 , 14 , 0 , 0 , 0 , 101 , 9 , 7 , 7 , 7 , 0 , 0 
Reinhardt Ludwig,Lock,bulls,2021, 0 , 0 , 6 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
Ruan Nortje,Lock,bulls,2021, 10 , 2 , 133 , 85 , 2 , 4 , 26 , 4 , 0 , 0 , 0 , 131 , 18 , 13 , 11 , 7 , 0 , 0 
Ruan Vermaak,Lock,bulls,2021,,,,,,,,,,,,,,,,,,
Simphiwe Matanzima,Prop,bulls,2021, 0 , 0 , 29 , 22 , 1 , 0 , 7 , 4 , 0 , 0 , 0 , 40 , 0 , 1 , 2 , 5 , 0 , 0 
Sintu Manjezi,Lock,blue-bulls,2021, 0 , 0 , 7 , 3 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 5 , 0 , 2 , 0 , 0 , 0 , 0 
WJ Steenkamp,Flanker,bulls,2021, 0 , 0 , 21 , 13 , 2 , 0 , 3 , 0 , 0 , 0 , 0 , 9 , 1 , 2 , 2 , 0 , 0 , 0 
Walt Steenkamp,Lock,bulls,2021, 5 , 1 , 60 , 36 , 1 , 1 , 14 , 3 , 0 , 0 , 0 , 76 , 11 , 8 , 8 , 8 , 0 , 0 
Werner Gouws,Blindside Flanker,blue-bulls,2021,,,,,,,,,,,,,,,,,,
 Robert Hunt,Fullback,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Bernard Van Der Linde,Scrum Half,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Canan Moodie,Right wing,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Chris Smith,Outside Half,bulls,2021, 92 , 3 , 73 , 26 , 13 , 3 , 69 , 1 , 59 , 16 , 15 , 55 , 8 , 1 , 3 , 2 , 0 , 0 
Cornal Hendricks,Right Wing,bulls,2021, 5 , 1 , 270 , 80 , 28 , 5 , 71 , 8 , 4 , 0 , 0 , 73 , 12 , 4 , 17 , 4 , 0 , 0 
David Kriel,Full Back,bulls,2021, 15 , 3 , 141 , 56 , 12 , 1 , 33 , 3 , 24 , 0 , 0 , 22 , 4 , 4 , 18 , 5 , 0 , 0 
Diego Appollis,Centre,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Embrose Papier,Scrum half,bulls,2021, 0 , 0 , 76 , 14 , 9 , 1 , 269 , 3 , 41 , 0 , 0 , 25 , 5 , 1 , 9 , 2 , 0 , 0 
FC Du Plessis,Outside Half,toulon,2021,,,,,,,,,,,,,,,,,,
Gerhard Steenekamp,Prop,bulls,2021, 0 , 0 , 84 , 41 , 1 , 0 , 7 , 5 , 0 , 0 , 0 , 59 , 6 , 3 , 4 , 9 , 0 , 0 
Harold Vorster,Centre,bulls,2021, 0 , 0 , 139 , 46 , 3 , 1 , 40 , 3 , 5 , 0 , 0 , 45 , 9 , 2 , 8 , 5 , 0 , 0 
Izak Burger,,bulls,2021, 5 , 1 , 76 , 22 , 4 , 3 , 354 , 8 , 35 , 0 , 0 , 26 , 12 , 5 , 8 , 2 , 0 , 0 
Jakobus Roos,Fullback,blue-bulls,2021,,,,,,,,,,,,,,,,,,
James Verity-Amm,,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Jan-Hendrik Wessels,Prop,bulls,2021, 0 , 0 , 5 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 
Janko Swanepoel,Lock,bulls,2021, 5 , 1 , 62 , 41 , 4 , 0 , 4 , 2 , 1 , 0 , 0 , 49 , 6 , 4 , 8 , 7 , 0 , 0 
Joe Van Zyl,Hooker,blue-bulls,2021, 5 , 1 , 19 , 7 , 2 , 0 , 3 , 0 , 0 , 0 , 0 , 9 , 2 , 0 , 5 , 1 , 0 , 0 
Juan Mostert,Outside Half,blue-bulls,2021,,,,,,,,,,,,,,,,,,
Kabelo Mokoena,Fullback,blue-bulls,2021, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
Keagan Johannes,Scrum Half,blue-bulls,2021, 0 , 0 , 17 , 5 , 0 , 1 , 227 , 5 , 15 , 0 , 0 , 7 , 7 , 1 , 5 , 2 , 0 , 0 
Kurt-Lee Arendse,Full Back,bulls,2021, 0 , 0 , 100 , 25 , 11 , 1 , 15 , 7 , 1 , 0 , 0 , 15 , 3 , 1 , 3 , 0 , 0 , 0 
Lionel Mapoe,Centre,bulls,2021, 0 , 0 , 21 , 16 , 0 , 1 , 9 , 1 , 1 , 0 , 0 , 32 , 7 , 1 , 2 , 1 , 0 , 0 
